attack_location,verifier_regime,redundancy_k,modelled_attack_success_rate,modelled_detection_rate,modelled_false_refusal_rate
retrieved_content,isolated,1,0.0500,0.9500,0.0200
retrieved_content,isolated,2,0.0500,0.9500,0.0200
retrieved_content,isolated,3,0.0500,0.9500,0.0200
retrieved_content,isolated,5,0.0500,0.9500,0.0200
retrieved_content,shared,1,0.1800,0.8200,0.0200
retrieved_content,shared,2,0.1800,0.8200,0.0200
retrieved_content,shared,3,0.1800,0.8200,0.0200
retrieved_content,shared,5,0.1800,0.8200,0.0200
tool_output,isolated,1,0.0500,0.9500,0.0200
tool_output,isolated,2,0.0500,0.9500,0.0200
tool_output,isolated,3,0.0500,0.9500,0.0200
tool_output,isolated,5,0.0500,0.9500,0.0200
tool_output,shared,1,0.1800,0.8200,0.0200
tool_output,shared,2,0.1800,0.8200,0.0200
tool_output,shared,3,0.1800,0.8200,0.0200
tool_output,shared,5,0.1800,0.8200,0.0200
memory,isolated,1,0.0500,0.9500,0.0200
memory,isolated,2,0.0500,0.9500,0.0200
memory,isolated,3,0.0500,0.9500,0.0200
memory,isolated,5,0.0500,0.9500,0.0200
memory,shared,1,0.1800,0.8200,0.0200
memory,shared,2,0.1800,0.8200,0.0200
memory,shared,3,0.1800,0.8200,0.0200
memory,shared,5,0.1800,0.8200,0.0200
delegated_message,isolated,1,0.0500,0.9500,0.0200
delegated_message,isolated,2,0.0500,0.9500,0.0200
delegated_message,isolated,3,0.0500,0.9500,0.0200
delegated_message,isolated,5,0.0500,0.9500,0.0200
delegated_message,shared,1,0.1800,0.8200,0.0200
delegated_message,shared,2,0.1800,0.8200,0.0200
delegated_message,shared,3,0.1800,0.8200,0.0200
delegated_message,shared,5,0.1800,0.8200,0.0200
