cell_id,N_all,N_pcg_answered,I_nc_all,H_nc_A,H_pcg_A,S,V,S_plus_V,identity_residual
phi-3.5-mini__FEVER,240,198,0.1250,0.1212,0.0606,0.0038,0.0606,0.0644,0.00000000000000e+00
phi-3.5-mini__HotpotQA,240,198,0.1875,0.1869,0.1313,0.0006,0.0556,0.0562,0.00000000000000e+00
phi-3.5-mini__2WikiMultihopQA,240,198,0.2250,0.2424,0.1313,-0.0174,0.1111,0.0937,0.00000000000000e+00
phi-3.5-mini__PubMedQA,240,198,0.1333,0.1364,0.0707,-0.0030,0.0657,0.0626,0.00000000000000e+00
phi-3.5-mini__TAT-QA,240,198,0.1708,0.1616,0.0859,0.0092,0.0758,0.0850,0.00000000000000e+00
phi-3.5-mini__ToolBench,240,198,0.2458,0.2576,0.1414,-0.0117,0.1162,0.1044,0.00000000000000e+00
phi-3.5-mini__WebLINX,240,198,0.2250,0.2323,0.1263,-0.0073,0.1061,0.0987,0.00000000000000e+00
phi-3.5-mini__Adversarial-Integrity,240,198,0.2542,0.2525,0.1162,0.0016,0.1364,0.1380,0.00000000000000e+00
qwen2.5-7B__FEVER,240,200,0.1250,0.1300,0.0700,-0.0050,0.0600,0.0550,0.00000000000000e+00
qwen2.5-7B__HotpotQA,240,200,0.1833,0.1700,0.0750,0.0133,0.0950,0.1083,0.00000000000000e+00
qwen2.5-7B__2WikiMultihopQA,240,200,0.1917,0.1850,0.1000,0.0067,0.0850,0.0917,0.00000000000000e+00
qwen2.5-7B__PubMedQA,240,200,0.1250,0.1250,0.0650,0.0000,0.0600,0.0600,0.00000000000000e+00
qwen2.5-7B__TAT-QA,240,200,0.1708,0.1700,0.1050,0.0008,0.0650,0.0658,0.00000000000000e+00
qwen2.5-7B__ToolBench,240,200,0.1458,0.1350,0.0700,0.0108,0.0650,0.0758,0.00000000000000e+00
qwen2.5-7B__WebLINX,240,200,0.1625,0.1650,0.0800,-0.0025,0.0850,0.0825,0.00000000000000e+00
qwen2.5-7B__Adversarial-Integrity,240,199,0.2208,0.2060,0.1055,0.0148,0.1005,0.1153,0.00000000000000e+00
deepseek-llm-7b-chat__FEVER,240,200,0.1000,0.1050,0.0650,-0.0050,0.0400,0.0350,0.00000000000000e+00
deepseek-llm-7b-chat__HotpotQA,240,200,0.1250,0.1150,0.0600,0.0100,0.0550,0.0650,0.00000000000000e+00
deepseek-llm-7b-chat__2WikiMultihopQA,240,200,0.1875,0.1750,0.0800,0.0125,0.0950,0.1075,0.00000000000000e+00
deepseek-llm-7b-chat__PubMedQA,240,200,0.1292,0.1250,0.0650,0.0042,0.0600,0.0642,0.00000000000000e+00
deepseek-llm-7b-chat__TAT-QA,240,200,0.1625,0.1850,0.0850,-0.0225,0.1000,0.0775,0.00000000000000e+00
deepseek-llm-7b-chat__ToolBench,240,199,0.2167,0.2312,0.1307,-0.0145,0.1005,0.0860,0.00000000000000e+00
deepseek-llm-7b-chat__WebLINX,240,199,0.1583,0.1407,0.0804,0.0176,0.0603,0.0779,0.00000000000000e+00
deepseek-llm-7b-chat__Adversarial-Integrity,240,199,0.2708,0.2613,0.1156,0.0095,0.1457,0.1553,0.00000000000000e+00
Llama-3.1-8B__FEVER,240,200,0.1208,0.1100,0.0450,0.0108,0.0650,0.0758,0.00000000000000e+00
Llama-3.1-8B__HotpotQA,240,200,0.1333,0.1450,0.0700,-0.0117,0.0750,0.0633,0.00000000000000e+00
Llama-3.1-8B__2WikiMultihopQA,240,200,0.1958,0.2000,0.1000,-0.0042,0.1000,0.0958,0.00000000000000e+00
Llama-3.1-8B__PubMedQA,240,200,0.1083,0.1050,0.0400,0.0033,0.0650,0.0683,1.38777878078145e-17
Llama-3.1-8B__TAT-QA,240,200,0.1958,0.1650,0.0800,0.0308,0.0850,0.1158,0.00000000000000e+00
Llama-3.1-8B__ToolBench,240,200,0.1708,0.1700,0.1050,0.0008,0.0650,0.0658,0.00000000000000e+00
Llama-3.1-8B__WebLINX,240,200,0.1750,0.1750,0.0950,0.0000,0.0800,0.0800,0.00000000000000e+00
Llama-3.1-8B__Adversarial-Integrity,240,200,0.2375,0.2300,0.1350,0.0075,0.0950,0.1025,0.00000000000000e+00
Gemma-2-9b-it__FEVER,240,200,0.1208,0.1400,0.0750,-0.0192,0.0650,0.0458,0.00000000000000e+00
Gemma-2-9b-it__HotpotQA,240,200,0.1542,0.1650,0.1000,-0.0108,0.0650,0.0542,0.00000000000000e+00
Gemma-2-9b-it__2WikiMultihopQA,240,200,0.1542,0.1500,0.0700,0.0042,0.0800,0.0842,0.00000000000000e+00
Gemma-2-9b-it__PubMedQA,240,200,0.1333,0.1400,0.0800,-0.0067,0.0600,0.0533,0.00000000000000e+00
Gemma-2-9b-it__TAT-QA,240,200,0.1500,0.1650,0.1050,-0.0150,0.0600,0.0450,0.00000000000000e+00
Gemma-2-9b-it__ToolBench,240,200,0.2042,0.2000,0.1100,0.0042,0.0900,0.0942,0.00000000000000e+00
Gemma-2-9b-it__WebLINX,240,200,0.1750,0.1800,0.0700,-0.0050,0.1100,0.1050,0.00000000000000e+00
Gemma-2-9b-it__Adversarial-Integrity,240,199,0.2292,0.2613,0.1407,-0.0321,0.1206,0.0885,0.00000000000000e+00
Llama-3.3-70B__FEVER,240,202,0.0750,0.0743,0.0347,0.0007,0.0396,0.0403,0.00000000000000e+00
Llama-3.3-70B__HotpotQA,240,202,0.1208,0.1238,0.0446,-0.0029,0.0792,0.0763,0.00000000000000e+00
Llama-3.3-70B__2WikiMultihopQA,240,202,0.1083,0.1188,0.0297,-0.0105,0.0891,0.0786,0.00000000000000e+00
Llama-3.3-70B__PubMedQA,240,202,0.1250,0.1337,0.0941,-0.0087,0.0396,0.0309,0.00000000000000e+00
Llama-3.3-70B__TAT-QA,240,202,0.1208,0.1238,0.0743,-0.0029,0.0495,0.0466,0.00000000000000e+00
Llama-3.3-70B__ToolBench,240,202,0.1583,0.1683,0.0842,-0.0100,0.0842,0.0742,0.00000000000000e+00
Llama-3.3-70B__WebLINX,240,202,0.1583,0.1584,0.0594,-0.0001,0.0990,0.0989,0.00000000000000e+00
Llama-3.3-70B__Adversarial-Integrity,240,201,0.2250,0.2189,0.0945,0.0061,0.1244,0.1305,0.00000000000000e+00
deepseek-v3__FEVER,240,203,0.0875,0.0985,0.0345,-0.0110,0.0640,0.0530,0.00000000000000e+00
deepseek-v3__HotpotQA,240,202,0.1125,0.1089,0.0693,0.0036,0.0396,0.0432,0.00000000000000e+00
deepseek-v3__2WikiMultihopQA,240,202,0.1417,0.1337,0.0693,0.0080,0.0644,0.0724,0.00000000000000e+00
deepseek-v3__PubMedQA,240,202,0.1250,0.1287,0.0743,-0.0037,0.0545,0.0507,0.00000000000000e+00
