Vector,Regime,k,Detection,Accepted attack,False refusal,rho_realized,Utility
retrieved content,isolated,1,0.6810033721538452,0.18793570998481998,0.03215947360486246,0.9424394533510356,0.8282312289517325
retrieved content,isolated,2,0.7584888174232819,0.1116749413116375,0.041462930115096754,0.9762491200840197,0.8097195388436697
retrieved content,isolated,4,0.8543356350384883,0.03535503208751627,0.05682541615800196,1.0449504674637553,0.7908746021113098
retrieved content,isolated,8,0.9005597359833928,0.004330006979408248,0.06379046068425656,1.071858224716993,0.7724915246623659
retrieved content,shared,1,0.4730614031659297,0.18455494100828193,0.02830613735063905,1.0371053787428033,0.8284431624457148
retrieved content,shared,2,0.4863842842270849,0.1817970889804437,0.02983073698608483,1.2886701391624222,0.8103593094657653
retrieved content,shared,4,0.5176447414070935,0.1514192178314974,0.048023693662032456,1.5408113884443104,0.7913586968485882
retrieved content,shared,8,0.5685371609092476,0.11868037002744572,0.04628388395948087,1.7027341976601222,0.7734543863822285
tool output,isolated,1,0.7375593321376753,0.20361561037658438,0.032485383210465034,0.9106070022919718,0.8282133039234244
tool output,isolated,2,0.7943730476412122,0.1269841959097162,0.04045010784857721,0.982526111566456,0.8097752440683282
tool output,isolated,4,0.903026816333017,0.044705312539416196,0.05386629405677631,1.0363039223201636,0.7910373538268772
tool output,isolated,8,0.9448499093732574,0.005215450562938837,0.06634524334391065,1.090721360936781,0.772351011616085
tool output,shared,1,0.5268109390086282,0.21193820767499055,0.0324483341675957,1.0622454288426384,0.8282153416207821
tool output,shared,2,0.5700493814220938,0.2109225645569105,0.04387387252659982,1.252090686033873,0.8095869370110369
tool output,shared,4,0.5729576925122049,0.1813696802817756,0.04666031814282597,1.466272835922008,0.7914336825021445
tool output,shared,8,0.5938271024880047,0.15360082874877767,0.050265802652520016,1.666368068279898,0.7732353808541115
memory,isolated,1,0.6626465005988968,0.15749384495102364,0.03955849800734114,0.9488549789686368,0.8278242826095962
memory,isolated,2,0.7541732910623961,0.0897149708089722,0.04921855700511306,0.9675501524297802,0.8092929793647188
memory,isolated,4,0.8201015780051112,0.032587676367170436,0.05605832952849203,1.016068367400647,0.7909167918759329
memory,isolated,8,0.8883704308423507,0.0034032296348785645,0.06412619182934688,1.1109427645506895,0.7724730594493859
memory,shared,1,0.4845611330219724,0.17094929043127813,0.027335998665232602,1.0486103965411036,0.8284965200734121
memory,shared,2,0.5056262338998044,0.1472351759350689,0.037849254419028706,1.317883670964136,0.8099182910069533
memory,shared,4,0.5515915241057414,0.1386504761782763,0.05064624069695546,1.5331725859393002,0.7912144567616674
memory,shared,8,0.5378242570707944,0.10353943014166118,0.05824980596308653,1.7315709766549117,0.7727962606720302
delegated message,isolated,1,0.6902695560781891,0.23921885640354856,0.03766587829085867,0.9290683164846661,0.8279283766940028
delegated message,isolated,2,0.7374850578571495,0.15114337286485938,0.04328868388343029,0.9516586708755411,0.8096191223864113
delegated message,isolated,4,0.826940237589928,0.04639928965628475,0.057991657536029986,1.0007136899608204,0.7908104588355183
delegated message,isolated,8,0.901189583058669,0.005256984867690284,0.06128407225162692,1.101163149320016,0.7726293760261606
delegated message,shared,1,0.45966641498921323,0.24146543464013462,0.037191447665513785,1.0489988400408083,0.8279544703783968
delegated message,shared,2,0.4822920229605836,0.2243881796147489,0.03501688219858543,1.260130468930015,0.8100740714790777
delegated message,shared,4,0.5480615985274543,0.18759140206116576,0.04523633256212354,1.455124245637688,0.7915120017090831
delegated message,shared,8,0.521986728303378,0.16150601498568928,0.05833062325846428,1.7312002252779872,0.7727918157207845
