Cell,NoCert C,Shield C,PCG C,NoCert A,Shield A,PCG A,Cert. cov.,Resp.@1,Utility
Gemma-2-9b-it/2WikiMultihopQA,0.157,0.100,0.050,0.165,0.174,0.091,0.842,0.725,0.704
Gemma-2-9b-it/FEVER,0.113,0.109,0.079,0.139,0.110,0.071,0.842,0.625,0.682
Gemma-2-9b-it/HotpotQA,0.183,0.155,0.129,0.139,0.128,0.071,0.842,0.650,0.645
Gemma-2-9b-it/PubMedQA,0.104,0.109,0.069,0.174,0.147,0.091,0.842,0.650,0.689
Gemma-2-9b-it/Adversarial-Integrity,0.226,0.173,0.120,0.252,0.220,0.162,0.833,0.633,0.645
Gemma-2-9b-it/ToolBench,0.209,0.136,0.119,0.217,0.119,0.101,0.842,0.650,0.653
Gemma-2-9b-it/WebLINX,0.165,0.082,0.040,0.200,0.156,0.101,0.842,0.708,0.711
Llama-3.1-8B/2WikiMultihopQA,0.235,0.200,0.099,0.174,0.138,0.101,0.842,0.608,0.667
Llama-3.1-8B/FEVER,0.139,0.091,0.059,0.113,0.027,0.030,0.842,0.608,0.697
Llama-3.1-8B/HotpotQA,0.104,0.091,0.040,0.174,0.156,0.101,0.842,0.675,0.711
Llama-3.1-8B/Adversarial-Integrity,0.209,0.173,0.109,0.287,0.202,0.162,0.842,0.733,0.660
Llama-3.1-8B/TAT-QA,0.183,0.127,0.079,0.226,0.174,0.081,0.842,0.742,0.682
Llama-3.1-8B/ToolBench,0.174,0.136,0.119,0.183,0.128,0.091,0.842,0.658,0.653
Llama-3.1-8B/WebLINX,0.130,0.100,0.079,0.235,0.174,0.111,0.842,0.675,0.682
Llama-3.3-70B/2WikiMultihopQA,0.087,0.063,0.020,0.139,0.118,0.040,0.850,0.750,0.733
Llama-3.3-70B/FEVER,0.070,0.063,0.039,0.087,0.091,0.030,0.850,0.733,0.719
Llama-3.3-70B/HotpotQA,0.096,0.063,0.029,0.157,0.109,0.060,0.850,0.725,0.726
Llama-3.3-70B/PubMedQA,0.104,0.108,0.098,0.157,0.136,0.090,0.850,0.725,0.675
Llama-3.3-70B/Adversarial-Integrity,0.235,0.216,0.129,0.235,0.145,0.060,0.842,0.667,0.645
Llama-3.3-70B/TAT-QA,0.078,0.063,0.059,0.174,0.145,0.090,0.850,0.783,0.704
Llama-3.3-70B/WebLINX,0.130,0.090,0.059,0.200,0.100,0.060,0.850,0.600,0.704
deepseek-llm-7b-chat/2WikiMultihopQA,0.148,0.127,0.069,0.243,0.193,0.091,0.842,0.633,0.689
deepseek-llm-7b-chat/FEVER,0.052,0.045,0.040,0.157,0.128,0.091,0.842,0.725,0.711
deepseek-llm-7b-chat/HotpotQA,0.139,0.091,0.050,0.122,0.128,0.071,0.842,0.708,0.704
deepseek-llm-7b-chat/PubMedQA,0.104,0.055,0.040,0.165,0.147,0.091,0.842,0.642,0.711
