Cell,Audit cov.,Safety gain,Resp. lift,Control gain
Gemma-2-9b-it/2WikiMultihopQA,0.778,3.16x,11.8pp,1.54x
Gemma-2-9b-it/FEVER,0.846,1.43x,11.4pp,1.21x
Gemma-2-9b-it/HotpotQA,0.810,1.42x,11.7pp,1.11x
Gemma-2-9b-it/PubMedQA,0.833,1.51x,11.6pp,1.32x
Gemma-2-9b-it/Adversarial-Integrity,0.846,1.88x,12.7pp,1.29x
Gemma-2-9b-it/ToolBench,0.833,1.76x,12.3pp,1.05x
Gemma-2-9b-it/WebLINX,0.842,4.17x,12.3pp,1.47x
Llama-3.1-8B/2WikiMultihopQA,0.852,2.37x,11.8pp,1.74x
Llama-3.1-8B/FEVER,0.812,2.34x,11.3pp,1.30x
Llama-3.1-8B/HotpotQA,0.833,2.63x,11.7pp,1.65x
Llama-3.1-8B/Adversarial-Integrity,0.750,1.92x,12.7pp,1.40x
Llama-3.1-8B/TAT-QA,0.857,2.31x,11.8pp,1.36x
Llama-3.1-8B/ToolBench,0.750,1.46x,12.3pp,1.05x
Llama-3.1-8B/WebLINX,0.800,1.65x,12.3pp,1.10x
Llama-3.3-70B/2WikiMultihopQA,0.900,4.43x,11.8pp,1.47x
Llama-3.3-70B/FEVER,0.750,1.77x,11.4pp,1.17x
Llama-3.3-70B/HotpotQA,0.818,3.25x,11.7pp,1.31x
Llama-3.3-70B/PubMedQA,0.833,1.06x,11.6pp,0.97x
Llama-3.3-70B/Adversarial-Integrity,0.852,1.82x,12.7pp,1.42x
Llama-3.3-70B/TAT-QA,0.889,1.33x,11.8pp,0.92x
Llama-3.3-70B/WebLINX,0.800,2.22x,12.3pp,1.16x
deepseek-llm-7b-chat/2WikiMultihopQA,0.765,2.13x,11.8pp,1.52x
deepseek-llm-7b-chat/FEVER,0.833,1.32x,11.4pp,0.99x
deepseek-llm-7b-chat/HotpotQA,0.812,2.81x,11.7pp,1.45x
deepseek-llm-7b-chat/PubMedQA,0.833,2.63x,11.6pp,1.11x
deepseek-llm-7b-chat/Adversarial-Integrity,0.794,2.46x,12.7pp,1.55x
deepseek-llm-7b-chat/TAT-QA,0.789,2.09x,11.8pp,1.53x
deepseek-llm-7b-chat/ToolBench,0.778,1.96x,12.3pp,1.29x
deepseek-llm-7b-chat/WebLINX,0.778,2.24x,12.3pp,1.48x
deepseek-v3/2WikiMultihopQA,0.889,2.28x,11.8pp,1.35x
deepseek-v3/FEVER,0.875,1.77x,11.4pp,1.13x
deepseek-v3/HotpotQA,0.900,1.48x,11.7pp,1.24x
deepseek-v3/PubMedQA,0.900,1.77x,12.2pp,1.06x
deepseek-v3/Adversarial-Integrity,0.818,1.77x,12.7pp,1.19x
deepseek-v3/TAT-QA,0.909,1.39x,16.3pp,0.89x
deepseek-v3/ToolBench,0.857,3.10x,12.3pp,1.24x
phi-3.5-mini/2WikiMultihopQA,0.792,1.61x,11.8pp,1.43x
phi-3.5-mini/HotpotQA,0.750,1.61x,11.7pp,1.31x
phi-3.5-mini/PubMedQA,0.812,1.39x,11.6pp,1.26x
phi-3.5-mini/Adversarial-Integrity,0.778,2.13x,12.7pp,1.37x
phi-3.5-mini/TAT-QA,0.824,1.64x,11.8pp,1.44x
phi-3.5-mini/ToolBench,0.759,1.94x,12.3pp,1.18x
phi-3.5-mini/WebLINX,0.739,1.82x,12.3pp,1.22x
qwen2.5-7B/2WikiMultihopQA,0.818,3.22x,11.8pp,1.82x
qwen2.5-7B/FEVER,0.857,2.05x,11.4pp,1.42x
qwen2.5-7B/PubMedQA,0.769,1.90x,11.6pp,1.28x
qwen2.5-7B/Adversarial-Integrity,0.783,1.67x,12.7pp,1.18x
qwen2.5-7B/TAT-QA,0.812,1.41x,11.8pp,1.23x
qwen2.5-7B/ToolBench,0.727,4.83x,12.3pp,1.35x
qwen2.5-7B/WebLINX,0.812,2.01x,12.3pp,1.13x
