Cell,Clean gain,Adv gain,Audit cov.,Shield gap,Resp. lift,Control gain
Gemma-2-9b-it/2WikiMultihopQA,3.16x,1.82x,0.778,2.02x,11.8pp,1.54x
Gemma-2-9b-it/FEVER,1.43x,1.97x,0.846,1.38x,11.4pp,1.21x
Gemma-2-9b-it/HotpotQA,1.42x,1.97x,0.810,1.20x,11.7pp,1.11x
Gemma-2-9b-it/PubMedQA,1.51x,1.91x,0.833,1.57x,11.6pp,1.32x
Gemma-2-9b-it/Adversarial-Integrity,1.88x,1.56x,0.846,1.44x,12.7pp,1.29x
Gemma-2-9b-it/ToolBench,1.76x,2.15x,0.833,1.15x,12.3pp,1.05x
Gemma-2-9b-it/WebLINX,4.17x,1.98x,0.842,2.07x,12.3pp,1.47x
Llama-3.1-8B/2WikiMultihopQA,2.37x,1.72x,0.852,2.02x,11.8pp,1.74x
Llama-3.1-8B/FEVER,2.34x,3.73x,0.812,1.53x,11.3pp,1.30x
Llama-3.1-8B/HotpotQA,2.63x,1.72x,0.833,2.30x,11.7pp,1.65x
Llama-3.1-8B/Adversarial-Integrity,1.92x,1.78x,0.750,1.59x,12.7pp,1.40x
Llama-3.1-8B/TAT-QA,2.31x,2.80x,0.857,1.61x,11.8pp,1.36x
Llama-3.1-8B/ToolBench,1.46x,2.01x,0.750,1.15x,12.3pp,1.05x
Llama-3.1-8B/WebLINX,1.65x,2.11x,0.800,1.26x,12.3pp,1.10x
Llama-3.3-70B/2WikiMultihopQA,4.43x,3.48x,0.900,3.22x,11.8pp,1.47x
Llama-3.3-70B/FEVER,1.77x,2.90x,0.750,1.61x,11.4pp,1.17x
Llama-3.3-70B/HotpotQA,3.25x,2.61x,0.818,2.14x,11.7pp,1.31x
Llama-3.3-70B/PubMedQA,1.06x,1.74x,0.833,1.10x,11.6pp,0.97x
Llama-3.3-70B/Adversarial-Integrity,1.82x,3.91x,0.852,1.68x,12.7pp,1.42x
Llama-3.3-70B/TAT-QA,1.33x,1.93x,0.889,1.07x,11.8pp,0.92x
Llama-3.3-70B/WebLINX,2.22x,3.33x,0.800,1.53x,12.3pp,1.16x
deepseek-llm-7b-chat/2WikiMultihopQA,2.13x,2.68x,0.765,1.84x,11.8pp,1.52x
deepseek-llm-7b-chat/FEVER,1.32x,1.72x,0.833,1.15x,11.4pp,0.99x
deepseek-llm-7b-chat/HotpotQA,2.81x,1.72x,0.812,1.84x,11.7pp,1.45x
deepseek-llm-7b-chat/PubMedQA,2.63x,1.82x,0.833,1.38x,11.6pp,1.11x
deepseek-llm-7b-chat/Adversarial-Integrity,2.46x,2.43x,0.794,1.74x,12.7pp,1.55x
deepseek-llm-7b-chat/TAT-QA,2.09x,1.91x,0.789,1.84x,11.8pp,1.53x
deepseek-llm-7b-chat/ToolBench,1.96x,1.54x,0.778,1.44x,12.3pp,1.29x
deepseek-llm-7b-chat/WebLINX,2.24x,1.91x,0.778,1.82x,12.3pp,1.48x
deepseek-v3/2WikiMultihopQA,2.28x,1.99x,0.889,1.84x,11.8pp,1.35x
deepseek-v3/FEVER,1.77x,3.81x,0.875,1.61x,11.4pp,1.13x
deepseek-v3/HotpotQA,1.48x,1.85x,0.900,1.68x,11.7pp,1.24x
deepseek-v3/PubMedQA,1.77x,1.74x,0.900,1.47x,12.2pp,1.06x
deepseek-v3/Adversarial-Integrity,1.77x,1.83x,0.818,1.42x,12.7pp,1.19x
deepseek-v3/TAT-QA,1.39x,4.93x,0.909,1.05x,16.3pp,0.89x
deepseek-v3/ToolBench,3.10x,1.83x,0.857,2.07x,12.3pp,1.24x
phi-3.5-mini/2WikiMultihopQA,1.61x,1.97x,0.792,1.54x,11.8pp,1.43x
phi-3.5-mini/HotpotQA,1.61x,1.38x,0.750,1.40x,11.7pp,1.31x
phi-3.5-mini/PubMedQA,1.39x,3.41x,0.812,1.36x,11.6pp,1.26x
phi-3.5-mini/Adversarial-Integrity,2.13x,2.41x,0.778,1.49x,12.7pp,1.37x
phi-3.5-mini/TAT-QA,1.64x,2.56x,0.824,1.62x,11.8pp,1.44x
phi-3.5-mini/ToolBench,1.94x,1.70x,0.759,1.26x,12.3pp,1.18x
phi-3.5-mini/WebLINX,1.82x,1.89x,0.739,1.32x,12.3pp,1.22x
qwen2.5-7B/2WikiMultihopQA,3.22x,1.48x,0.818,2.30x,11.8pp,1.82x
qwen2.5-7B/FEVER,2.05x,1.72x,0.857,1.68x,11.4pp,1.42x
qwen2.5-7B/PubMedQA,1.90x,2.09x,0.769,1.53x,11.6pp,1.28x
qwen2.5-7B/Adversarial-Integrity,1.67x,2.87x,0.783,1.29x,12.7pp,1.18x
qwen2.5-7B/TAT-QA,1.41x,1.96x,0.812,1.38x,11.8pp,1.23x
qwen2.5-7B/ToolBench,4.83x,1.72x,0.727,2.30x,12.3pp,1.35x
qwen2.5-7B/WebLINX,2.01x,2.20x,0.812,1.31x,12.3pp,1.13x
