Shift,Level,Bad accept,Bound sum,Violation,Balanced acc.,2a-1,rho_UCB,Gate,Fallback,Post harm,Post utility
dataset,mild,0.0524858635164632,0.07973883985380521,False,0.6801382019476963,0.3602764038953925,1.2038228359693064,PASS,Answer,0.0524858635164632,0.7949999999999999
dataset,moderate,0.06974187804057683,0.09152853825537725,False,0.7692151033620521,0.5384302067241042,1.3017221850139657,PASS,Answer,0.06974187804057683,0.7699999999999999
dataset,severe,0.0889884359339926,0.1151296493795258,False,0.8891887986850052,0.7783775973700104,1.4079308743259542,FAIL,Verify/Escalate,0.056062714638415334,0.6999999999999998
backend,mild,0.05143561738117345,0.08427729616151881,False,0.6567399931350103,0.3134799862700206,1.2158634009257474,PASS,Answer,0.05143561738117345,0.7949999999999999
backend,moderate,0.07537478468970116,0.0942636634730883,False,0.7629624301469204,0.5259248602938409,1.3274841287533619,FAIL,Verify/Escalate,0.04748611435451173,0.7249999999999999
backend,severe,0.09300876734436903,0.11415236171635437,False,0.8698176792916831,0.7396353585833662,1.4666954749754644,FAIL,Verify/Escalate,0.058595523426952484,0.6999999999999998
corruption,mild,0.054109455512111035,0.08506175805056239,False,0.6604586206494926,0.32091724129898513,1.1914159048393154,PASS,Answer,0.054109455512111035,0.7949999999999999
corruption,moderate,0.06847985680720377,0.09807145829830936,False,0.7340152814853826,0.4680305629707653,1.330992409439051,FAIL,Verify/Escalate,0.04314230978853838,0.7249999999999999
corruption,severe,0.09078627279243882,0.12048231141061924,False,0.8354768473502769,0.6709536947005539,1.4411853253454545,FAIL,Verify/Escalate,0.05719535185923646,0.6999999999999998
tool drift,mild,0.045524257643946256,0.08723902131890607,False,0.6504813457001686,0.30096269140033716,1.211717629726595,PASS,Answer,0.045524257643946256,0.7949999999999999
tool drift,moderate,0.06899663266443616,0.09620835870534351,False,0.7386253973225537,0.47725079464510745,1.3149220514940918,PASS,Answer,0.06899663266443616,0.7699999999999999
tool drift,severe,0.08374365019842293,0.11610262215815909,False,0.8343559895156188,0.6687119790312377,1.3941686623966754,FAIL,Verify/Escalate,0.05275849962500645,0.6999999999999998
branch dependence,mild,0.06863916941034447,0.08486414963865811,False,0.6787893647005804,0.35757872940116076,1.2896024199736906,PASS,Answer,0.06863916941034447,0.7949999999999999
branch dependence,moderate,0.07967947821509824,0.10113329322047837,False,0.766119659524194,0.5322393190483881,1.3795919394878973,FAIL,Verify/Escalate,0.050198071275511895,0.7249999999999999
branch dependence,severe,0.10196032055125412,0.10954699868355539,False,0.8297364799065446,0.6594729598130893,1.5316560352595896,FAIL,Verify/Escalate,0.0642350019472901,0.6999999999999998
checker degradation,mild,0.06788913882816998,0.07355178428955242,False,0.6550909280172729,0.31018185603454573,1.1853945305692741,PASS,Answer,0.06788913882816998,0.7949999999999999
checker degradation,moderate,0.0858858464257634,0.0895306514438738,False,0.7409666751590002,0.48193335031800033,1.368389708047611,FAIL,Verify/Escalate,0.054108083248230944,0.7249999999999999
checker degradation,severe,0.10030597911454,0.10598036524157675,False,0.8277597175942153,0.6555194351884306,1.4146593768329463,FAIL,Verify/Escalate,0.0631927668421602,0.6999999999999998
