cell_id,N_all,N_nocert_accepted,N_pcg_answered,nocert_bad_accept_count_all,pcg_bad_accept_count_on_A,nocert_bad_accept_incidence_all,nocert_conditional_harm,mean_nocert_loss_on_A,pcg_conditional_harm_on_A,S,S_ci_low,S_ci_high,V,V_ci_low,V_ci_high,S_plus_V,identity_residual,pairing_hash
phi-3.5-mini__FEVER,240,230,198,30,12,0.1250,0.1304,0.1212,0.0606,0.0038,-0.0112,0.0188,0.0606,0.0406,0.0806,0.0644,0.00000000000000,00e2174229e64b44
phi-3.5-mini__HotpotQA,240,230,198,45,26,0.1875,0.1957,0.1869,0.1313,0.0006,-0.0144,0.0156,0.0556,0.0356,0.0756,0.0562,0.00000000000000,f8239119410c7618
phi-3.5-mini__2WikiMultihopQA,240,230,198,54,26,0.2250,0.2348,0.2424,0.1313,-0.0174,-0.0324,-0.0024,0.1111,0.0911,0.1311,0.0937,0.00000000000000,f018d332b55b67c9
phi-3.5-mini__PubMedQA,240,230,198,32,14,0.1333,0.1391,0.1364,0.0707,-0.0030,-0.0180,0.0120,0.0657,0.0457,0.0857,0.0626,0.00000000000000,72db1868613e399e
phi-3.5-mini__TAT-QA,240,230,198,41,17,0.1708,0.1783,0.1616,0.0859,0.0092,-0.0058,0.0242,0.0758,0.0558,0.0958,0.0850,0.00000000000000,8caef0317e7de95d
phi-3.5-mini__ToolBench,240,230,198,59,28,0.2458,0.2565,0.2576,0.1414,-0.0117,-0.0267,0.0033,0.1162,0.0962,0.1362,0.1044,0.00000000000000,58d0d9e9dd097b3f
phi-3.5-mini__WebLINX,240,230,198,54,25,0.2250,0.2348,0.2323,0.1263,-0.0073,-0.0223,0.0077,0.1061,0.0861,0.1261,0.0987,0.00000000000000,2a62e8cfb286354f
phi-3.5-mini__Adversarial-Integrity,240,230,198,61,23,0.2542,0.2652,0.2525,0.1162,0.0016,-0.0134,0.0166,0.1364,0.1164,0.1564,0.1380,0.00000000000000,b4f8ab8fdab7b026
qwen2.5-7B__FEVER,240,230,200,30,14,0.1250,0.1304,0.1300,0.0700,-0.0050,-0.0200,0.0100,0.0600,0.0400,0.0800,0.0550,0.00000000000000,154988337efb076f
qwen2.5-7B__HotpotQA,240,230,200,44,15,0.1833,0.1913,0.1700,0.0750,0.0133,-0.0017,0.0283,0.0950,0.0750,0.1150,0.1083,0.00000000000000,f8becf9e6ef4a0e3
qwen2.5-7B__2WikiMultihopQA,240,230,200,46,20,0.1917,0.2000,0.1850,0.1000,0.0067,-0.0083,0.0217,0.0850,0.0650,0.1050,0.0917,0.00000000000000,a781ce0c363fff4a
qwen2.5-7B__PubMedQA,240,230,200,30,13,0.1250,0.1304,0.1250,0.0650,0.0000,-0.0150,0.0150,0.0600,0.0400,0.0800,0.0600,0.00000000000000,fadf3d722a73cb97
qwen2.5-7B__TAT-QA,240,230,200,41,21,0.1708,0.1783,0.1700,0.1050,0.0008,-0.0142,0.0158,0.0650,0.0450,0.0850,0.0658,0.00000000000000,beb0ad7f8223cdfb
qwen2.5-7B__ToolBench,240,230,200,35,14,0.1458,0.1522,0.1350,0.0700,0.0108,-0.0042,0.0258,0.0650,0.0450,0.0850,0.0758,0.00000000000000,25129bd3badc5cc2
qwen2.5-7B__WebLINX,240,230,200,39,16,0.1625,0.1696,0.1650,0.0800,-0.0025,-0.0175,0.0125,0.0850,0.0650,0.1050,0.0825,0.00000000000000,d348a6a38ef9dad0
qwen2.5-7B__Adversarial-Integrity,240,230,199,53,21,0.2208,0.2304,0.2060,0.1055,0.0148,-0.0002,0.0298,0.1005,0.0805,0.1205,0.1153,0.00000000000000,d791c8adf9fb249f
deepseek-llm-7b-chat__FEVER,240,230,200,24,13,0.1000,0.1043,0.1050,0.0650,-0.0050,-0.0200,0.0100,0.0400,0.0200,0.0600,0.0350,0.00000000000000,a8c04ec9e09bb9a5
deepseek-llm-7b-chat__HotpotQA,240,230,200,30,12,0.1250,0.1304,0.1150,0.0600,0.0100,-0.0050,0.0250,0.0550,0.0350,0.0750,0.0650,0.00000000000000,0e02eead8ee14356
