cell_id,k_nc,N_nc,k_pcg,N_pcg,h_nc,h_pcg,raw_gain,haldane_anscombe_gain,cov_audit
phi-3.5-mini__FEVER,30,230,12,198,0.1304,0.0606,2.1522,2.1020,0.2670
phi-3.5-mini__HotpotQA,45,230,26,198,0.1957,0.1313,1.4900,1.4791,0.3000
phi-3.5-mini__2WikiMultihopQA,54,230,26,198,0.2348,0.1313,1.7880,1.7717,0.3290
phi-3.5-mini__PubMedQA,32,230,14,198,0.1391,0.0707,1.9677,1.9309,0.2750
phi-3.5-mini__TAT-QA,41,230,17,198,0.1783,0.0859,2.0762,2.0429,0.3000
phi-3.5-mini__ToolBench,59,230,28,198,0.2565,0.1414,1.8140,1.7985,0.3330
phi-3.5-mini__WebLINX,54,230,25,198,0.2348,0.1263,1.8595,1.8412,0.3170
phi-3.5-mini__Adversarial-Integrity,61,230,23,198,0.2652,0.1162,2.2832,2.2545,0.3460
qwen2.5-7B__FEVER,30,230,14,200,0.1304,0.0700,1.8634,1.8303,0.2790
qwen2.5-7B__HotpotQA,44,230,15,200,0.1913,0.0750,2.5507,2.4981,0.3170
qwen2.5-7B__2WikiMultihopQA,46,230,20,200,0.2000,0.1000,2.0000,1.9737,0.3120
qwen2.5-7B__PubMedQA,30,230,13,200,0.1304,0.0650,2.0067,1.9658,0.2710
qwen2.5-7B__TAT-QA,41,230,21,200,0.1783,0.1050,1.6977,1.6796,0.3040
qwen2.5-7B__ToolBench,35,230,14,200,0.1522,0.0700,2.1739,2.1303,0.2750
qwen2.5-7B__WebLINX,39,230,16,200,0.1696,0.0800,2.1196,2.0830,0.2920
qwen2.5-7B__Adversarial-Integrity,53,230,21,199,0.2304,0.1055,2.1836,2.1544,0.3250
deepseek-llm-7b-chat__FEVER,24,230,13,200,0.1043,0.0650,1.6054,1.5791,0.2580
deepseek-llm-7b-chat__HotpotQA,30,230,12,200,0.1304,0.0600,2.1739,2.1231,0.2710
deepseek-llm-7b-chat__2WikiMultihopQA,45,230,16,200,0.1957,0.0800,2.4457,2.3994,0.3040
deepseek-llm-7b-chat__PubMedQA,31,230,13,200,0.1348,0.0650,2.0736,2.0303,0.2750
deepseek-llm-7b-chat__TAT-QA,39,230,17,200,0.1696,0.0850,1.9949,1.9640,0.2960
deepseek-llm-7b-chat__ToolBench,52,230,26,199,0.2261,0.1307,1.7304,1.7153,0.3210
deepseek-llm-7b-chat__WebLINX,38,230,16,199,0.1652,0.0804,2.0549,2.0202,0.2920
deepseek-llm-7b-chat__Adversarial-Integrity,65,230,23,199,0.2826,0.1156,2.4452,2.4132,0.3580
Llama-3.1-8B__FEVER,29,230,9,200,0.1261,0.0450,2.8019,2.7020,0.2670
Llama-3.1-8B__HotpotQA,32,230,14,200,0.1391,0.0700,1.9876,1.9503,0.2790
Llama-3.1-8B__2WikiMultihopQA,47,230,20,200,0.2043,0.1000,2.0435,2.0162,0.3250
Llama-3.1-8B__PubMedQA,26,230,8,200,0.1130,0.0400,2.8261,2.7128,0.2670
Llama-3.1-8B__TAT-QA,47,230,16,200,0.2043,0.0800,2.5543,2.5049,0.3210
Llama-3.1-8B__ToolBench,41,230,21,200,0.1783,0.1050,1.6977,1.6796,0.2920
Llama-3.1-8B__WebLINX,42,230,19,200,0.1826,0.0950,1.9222,1.8964,0.3040
Llama-3.1-8B__Adversarial-Integrity,57,230,27,200,0.2478,0.1350,1.8357,1.8194,0.3290
Gemma-2-9b-it__FEVER,29,230,15,200,0.1261,0.0750,1.6812,1.6561,0.2750
Gemma-2-9b-it__HotpotQA,37,230,20,200,0.1609,0.1000,1.6087,1.5917,0.2870
Gemma-2-9b-it__2WikiMultihopQA,37,230,14,200,0.1609,0.0700,2.2981,2.2503,0.2870
Gemma-2-9b-it__PubMedQA,32,230,16,200,0.1391,0.0800,1.7391,1.7139,0.2790
Gemma-2-9b-it__TAT-QA,36,230,21,200,0.1565,0.1050,1.4907,1.4772,0.2790
Gemma-2-9b-it__ToolBench,49,230,22,200,0.2130,0.1100,1.9368,1.9143,0.3290
Gemma-2-9b-it__WebLINX,42,230,14,200,0.1826,0.0700,2.6087,2.5504,0.3080
Gemma-2-9b-it__Adversarial-Integrity,55,230,28,199,0.2391,0.1407,1.6995,1.6860,0.3420
Llama-3.3-70B__FEVER,18,230,7,202,0.0783,0.0347,2.2584,2.1677,0.2420
Llama-3.3-70B__HotpotQA,29,230,9,202,0.1261,0.0446,2.8300,2.7289,0.2710
Llama-3.3-70B__2WikiMultihopQA,26,230,6,202,0.1130,0.0297,3.8058,3.5828,0.2710
Llama-3.3-70B__PubMedQA,30,230,19,202,0.1304,0.0941,1.3867,1.3745,0.2790
Llama-3.3-70B__TAT-QA,29,230,15,202,0.1261,0.0743,1.6980,1.6725,0.2790
