cell,h_nocert,h_pcg,cov_ctrl,cov_audit,gain
phi-3.5-mini / hotpotqa,0.1826,0.1327,0.8167,0.9500,1.38x
phi-3.5-mini / 2wikimultihopqa,0.2609,0.1327,0.8167,0.9500,1.97x
phi-3.5-mini / pubmedqa,0.1391,0.0408,0.8167,0.9500,3.41x
phi-3.5-mini / tat-qa,0.2087,0.0816,0.8167,0.9500,2.56x
phi-3.5-mini / toolbench,0.2609,0.1531,0.8167,0.9500,1.70x
phi-3.5-mini / weblinx,0.2696,0.1429,0.8167,0.9500,1.89x
phi-3.5-mini / adversarial-integrity,0.2957,0.1224,0.8167,0.9500,2.41x
qwen2.5-7b / fever,0.1391,0.0808,0.8250,0.9500,1.72x
qwen2.5-7b / 2wikimultihopqa,0.2087,0.1414,0.8250,0.9500,1.48x
qwen2.5-7b / pubmedqa,0.1478,0.0707,0.8250,0.9500,2.09x
qwen2.5-7b / tat-qa,0.2174,0.1111,0.8250,0.9500,1.96x
qwen2.5-7b / toolbench,0.2087,0.1212,0.8250,0.9500,1.72x
qwen2.5-7b / weblinx,0.2000,0.0909,0.8250,0.9500,2.20x
qwen2.5-7b / adversarial-integrity,0.2609,0.0909,0.8250,0.9500,2.87x
deepseek-llm-7b-chat / fever,0.1565,0.0909,0.8250,0.9500,1.72x
deepseek-llm-7b-chat / hotpotqa,0.1217,0.0707,0.8250,0.9500,1.72x
deepseek-llm-7b-chat / 2wikimultihopqa,0.2435,0.0909,0.8250,0.9500,2.68x
deepseek-llm-7b-chat / pubmedqa,0.1652,0.0909,0.8250,0.9500,1.82x
deepseek-llm-7b-chat / tat-qa,0.1739,0.0909,0.8250,0.9500,1.91x
deepseek-llm-7b-chat / toolbench,0.2174,0.1414,0.8250,0.9500,1.54x
deepseek-llm-7b-chat / weblinx,0.1739,0.0909,0.8250,0.9500,1.91x
deepseek-llm-7b-chat / adversarial-integrity,0.2696,0.1111,0.8250,0.9500,2.43x
llama-3.1-8b / fever,0.1130,0.0303,0.8250,0.9500,3.73x
llama-3.1-8b / hotpotqa,0.1739,0.1010,0.8250,0.9500,1.72x
llama-3.1-8b / 2wikimultihopqa,0.1739,0.1010,0.8250,0.9500,1.72x
llama-3.1-8b / tat-qa,0.2261,0.0808,0.8250,0.9500,2.80x
llama-3.1-8b / toolbench,0.1826,0.0909,0.8250,0.9500,2.01x
llama-3.1-8b / weblinx,0.2348,0.1111,0.8250,0.9500,2.11x
llama-3.1-8b / adversarial-integrity,0.2870,0.1616,0.8250,0.9500,1.78x
gemma-2-9b-it / fever,0.1391,0.0707,0.8250,0.9500,1.97x
gemma-2-9b-it / hotpotqa,0.1391,0.0707,0.8250,0.9500,1.97x
gemma-2-9b-it / 2wikimultihopqa,0.1652,0.0909,0.8250,0.9500,1.82x
gemma-2-9b-it / pubmedqa,0.1739,0.0909,0.8250,0.9500,1.91x
gemma-2-9b-it / toolbench,0.2174,0.1010,0.8250,0.9500,2.15x
gemma-2-9b-it / weblinx,0.2000,0.1010,0.8250,0.9500,1.98x
gemma-2-9b-it / adversarial-integrity,0.2522,0.1616,0.8250,0.9500,1.56x
llama-3.3-70b / fever,0.0870,0.0300,0.8333,0.9500,2.90x
llama-3.3-70b / hotpotqa,0.1565,0.0600,0.8333,0.9500,2.61x
llama-3.3-70b / 2wikimultihopqa,0.1391,0.0400,0.8333,0.9500,3.48x
llama-3.3-70b / pubmedqa,0.1565,0.0900,0.8333,0.9500,1.74x
llama-3.3-70b / tat-qa,0.1739,0.0900,0.8333,0.9500,1.93x
llama-3.3-70b / weblinx,0.2000,0.0600,0.8333,0.9500,3.33x
llama-3.3-70b / adversarial-integrity,0.2348,0.0600,0.8333,0.9500,3.91x
deepseek-v3 / fever,0.1130,0.0297,0.8417,0.9500,3.81x
deepseek-v3 / hotpotqa,0.1478,0.0800,0.8333,0.9500,1.85x
deepseek-v3 / 2wikimultihopqa,0.1391,0.0700,0.8333,0.9500,1.99x
deepseek-v3 / pubmedqa,0.1739,0.1000,0.8333,0.9500,1.74x
deepseek-v3 / tat-qa,0.1478,0.0300,0.8333,0.9500,4.93x
deepseek-v3 / toolbench,0.1826,0.1000,0.8333,0.9500,1.83x
deepseek-v3 / adversarial-integrity,0.1826,0.1000,0.8333,0.9500,1.83x
