Cell,System,N,N_acc,Coverage,H_support,H_exec,H_joint
phi-3.5-mini/FEVER,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
phi-3.5-mini/FEVER,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
phi-3.5-mini/FEVER,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
phi-3.5-mini/FEVER,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
phi-3.5-mini/FEVER,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
qwen2.5-7B/HotpotQA,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
qwen2.5-7B/HotpotQA,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
qwen2.5-7B/HotpotQA,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
qwen2.5-7B/HotpotQA,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
qwen2.5-7B/HotpotQA,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
Llama-3.1-8B/PubMedQA,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
Llama-3.1-8B/PubMedQA,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
Llama-3.1-8B/PubMedQA,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
Llama-3.1-8B/PubMedQA,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
Llama-3.1-8B/PubMedQA,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
Gemma-2-9b-it/TAT-QA,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
Gemma-2-9b-it/TAT-QA,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
Gemma-2-9b-it/TAT-QA,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
Gemma-2-9b-it/TAT-QA,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
Gemma-2-9b-it/TAT-QA,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
Llama-3.3-70B/ToolBench,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
Llama-3.3-70B/ToolBench,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
Llama-3.3-70B/ToolBench,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
Llama-3.3-70B/ToolBench,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
Llama-3.3-70B/ToolBench,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
deepseek-v3/WebLINX,nocert,200,172,0.86,0.05232558139534884,0.12209302325581395,0.13953488372093023
deepseek-v3/WebLINX,citation_only,200,163,0.815,0.09815950920245399,0.09815950920245399,0.13496932515337423
deepseek-v3/WebLINX,shieldagent,200,164,0.82,0.12195121951219512,0.07317073170731707,0.13414634146341464
deepseek-v3/WebLINX,agentrr,200,173,0.865,0.06936416184971098,0.08670520231213873,0.07514450867052024
deepseek-v3/WebLINX,pcg_mas,200,168,0.84,0.023809523809523808,0.023809523809523808,0.05952380952380952
