Cell,System,N,N_acc,numerator,estimate
Gemma-2-9b-it/TAT-QA,agentrr,20,16,0,0.0
Gemma-2-9b-it/TAT-QA,citation_only,20,19,2,0.10526315789473684
Gemma-2-9b-it/TAT-QA,nocert,20,17,3,0.17647058823529413
Gemma-2-9b-it/TAT-QA,pcg_mas,20,20,1,0.05
Gemma-2-9b-it/TAT-QA,shieldagent,20,17,0,0.0
Llama-3.1-8B/PubMedQA,agentrr,20,18,3,0.16666666666666666
Llama-3.1-8B/PubMedQA,citation_only,20,19,3,0.15789473684210525
Llama-3.1-8B/PubMedQA,nocert,20,15,3,0.2
Llama-3.1-8B/PubMedQA,pcg_mas,20,19,0,0.0
Llama-3.1-8B/PubMedQA,shieldagent,20,17,2,0.11764705882352941
Llama-3.3-70B/ToolBench,agentrr,20,18,1,0.05555555555555555
Llama-3.3-70B/ToolBench,citation_only,20,14,4,0.2857142857142857
Llama-3.3-70B/ToolBench,nocert,20,17,4,0.23529411764705882
Llama-3.3-70B/ToolBench,pcg_mas,20,18,0,0.0
Llama-3.3-70B/ToolBench,shieldagent,20,18,0,0.0
deepseek-v3/WebLINX,agentrr,20,17,2,0.11764705882352941
deepseek-v3/WebLINX,citation_only,20,18,5,0.2777777777777778
deepseek-v3/WebLINX,nocert,20,17,3,0.17647058823529413
deepseek-v3/WebLINX,pcg_mas,20,16,0,0.0
deepseek-v3/WebLINX,shieldagent,20,16,2,0.125
phi-3.5-mini/FEVER,agentrr,20,17,2,0.11764705882352941
phi-3.5-mini/FEVER,citation_only,20,20,2,0.1
phi-3.5-mini/FEVER,nocert,20,17,1,0.058823529411764705
phi-3.5-mini/FEVER,pcg_mas,20,17,0,0.0
phi-3.5-mini/FEVER,shieldagent,20,18,3,0.16666666666666666
qwen2.5-7B/HotpotQA,agentrr,20,16,0,0.0
qwen2.5-7B/HotpotQA,citation_only,20,17,3,0.17647058823529413
qwen2.5-7B/HotpotQA,nocert,20,17,3,0.17647058823529413
qwen2.5-7B/HotpotQA,pcg_mas,20,18,0,0.0
qwen2.5-7B/HotpotQA,shieldagent,20,16,4,0.25
