run_file,dataset,backbone,mode,n,acceptance_rate,answer_accuracy,accepted_accuracy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,median_total_tokens,p95_total_tokens,mean_latency_query_ms,median_latency_query_ms,p95_latency_query_ms,mean_latency_accepted_ms,generation_ms,certificate_ms,replay_ms,verifier_ms,generation_share,certificate_share,replay_share,verifier_share,baseline_total_tokens,token_overhead_ratio_vs_posthoc
run_056dc4c2.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,46.88702900748467,42.6575404999312,59.999781911028634,0.0,46.75250825093826,0.0,0.026006254483945668,0.04602699773386121,0.9984616346491518,0.0,0.0005553979526354314,0.0009829673982127277,85.8,0.9592074592074592
run_056dc4c2.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,46.88702900748467,42.6575404999312,59.999781911028634,0.0,46.75250825093826,0.0,0.026006254483945668,0.04602699773386121,0.9984616346491518,0.0,0.0005553979526354314,0.0009829673982127277,85.8,0.9592074592074592
run_2167089a.jsonl,medmcqa,google/flan-t5-base,baseline_lightweight_citation,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,70.01633360341657,61.274625491932966,138.41435232170613,0.0,69.94148770463653,0.0,0.0,0.07484589878004044,0.9989310223068237,0.0,0.0,0.0010689776931762705,85.8,1.0
run_2167089a.jsonl,medmcqa,google/flan-t5-base,baseline_lightweight_citation,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,70.01633360341657,61.274625491932966,138.41435232170613,0.0,69.94148770463653,0.0,0.0,0.07484589878004044,0.9989310223068237,0.0,0.0,0.0010689776931762705,85.8,1.0
run_2db71ad3.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,47.1088374426472,41.25510447192937,61.68781624292034,0.0,46.97308544564294,0.0,0.025006146461237222,0.04741455049952492,0.9984606245548461,0.0,0.0005315310326439879,0.0010078444125099341,85.8,0.9592074592074592
run_2db71ad3.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,47.1088374426472,41.25510447192937,61.68781624292034,0.0,46.97308544564294,0.0,0.025006146461237222,0.04741455049952492,0.9984606245548461,0.0,0.0005315310326439879,0.0010078444125099341,85.8,0.9592074592074592
run_326f8296.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,49.965179298305884,44.25889500998892,70.68653927708517,0.0,49.8179396498017,0.0,0.025333352095913142,0.047993799671530724,0.9985302607757168,0.0,0.00050777127381172,0.0009619679504714692,85.8,0.9592074592074592
run_326f8296.jsonl,medmcqa,google/flan-t5-base,pcg_full,20,0.0,0.55,0.0,81.3,1.0,82.3,81.5,130.65,49.965179298305884,44.25889500998892,70.68653927708517,0.0,49.8179396498017,0.0,0.025333352095913142,0.047993799671530724,0.9985302607757168,0.0,0.00050777127381172,0.0009619679504714692,85.8,0.9592074592074592
run_41caa267.jsonl,medqa,google/flan-t5-base,pcg_full,20,0.0,0.1,0.0,226.05,1.0,227.05,220.5,348.05,57.378656056243926,52.89483400702011,75.52149105176801,0.0,57.246968598337844,0.0,0.02302510547451675,0.0456436988315545,0.9988019185091902,0.0,0.0004017246691817236,0.0007963568216280362,,
run_5dd9ce26.jsonl,medmcqa,google/flan-t5-base,baseline_posthoc_verify,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.24532489373814,42.73810448648874,101.4080723951337,0.0,52.17397489468567,0.0,0.0,0.07134999905247241,0.9986343275843802,0.0,0.0,0.0013656724156197956,85.8,1.0
run_5dd9ce26.jsonl,medmcqa,google/flan-t5-base,baseline_posthoc_verify,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.24532489373814,42.73810448648874,101.4080723951337,0.0,52.17397489468567,0.0,0.0,0.07134999905247241,0.9986343275843802,0.0,0.0,0.0013656724156197956,85.8,1.0
run_67886538.jsonl,medmcqa,google/flan-t5-base,baseline_multiagent_no_cert,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,57.58115010394249,48.073334008222446,106.18353126192224,0.0,57.50788749719504,0.0,0.0,0.07326260674744844,0.9987276633652645,0.0,0.0,0.0012723366347354751,85.8,1.0
run_67886538.jsonl,medmcqa,google/flan-t5-base,baseline_multiagent_no_cert,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,57.58115010394249,48.073334008222446,106.18353126192224,0.0,57.50788749719504,0.0,0.0,0.07326260674744844,0.9987276633652645,0.0,0.0,0.0012723366347354751,85.8,1.0
run_7f725e32.jsonl,medmcqa,google/flan-t5-base,baseline_multiagent_no_cert,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,51.166966403252445,42.6650200097356,98.5612000033142,0.0,51.098083207034506,0.0,0.0,0.06888319621793926,0.9986537564944722,0.0,0.0,0.0013462435055278297,85.8,1.0
run_7f725e32.jsonl,medmcqa,google/flan-t5-base,baseline_multiagent_no_cert,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,51.166966403252445,42.6650200097356,98.5612000033142,0.0,51.098083207034506,0.0,0.0,0.06888319621793926,0.9986537564944722,0.0,0.0,0.0013462435055278297,85.8,1.0
run_a9c4e91a.jsonl,medmcqa,google/flan-t5-base,baseline_posthoc_verify,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.84483340801671,41.723541493411176,106.69112720352122,0.0,52.77388750691898,0.0,0.0,0.0709459010977298,0.9986574675985833,0.0,0.0,0.0013425324014166937,85.8,1.0
run_a9c4e91a.jsonl,medmcqa,google/flan-t5-base,baseline_posthoc_verify,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.84483340801671,41.723541493411176,106.69112720352122,0.0,52.77388750691898,0.0,0.0,0.0709459010977298,0.9986574675985833,0.0,0.0,0.0013425324014166937,85.8,1.0
run_b9400e26.jsonl,medmcqa,google/flan-t5-base,baseline_selective,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.55435850704089,44.98406301718205,98.42550030152769,0.0,52.48503350303508,0.0,0.0,0.06932500400580466,0.9986808895403696,0.0,0.0,0.0013191104596304215,85.8,1.0
run_b9400e26.jsonl,medmcqa,google/flan-t5-base,baseline_selective,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.55435850704089,44.98406301718205,98.42550030152769,0.0,52.48503350303508,0.0,0.0,0.06932500400580466,0.9986808895403696,0.0,0.0,0.0013191104596304215,85.8,1.0
run_b99515e2.jsonl,medmcqa,google/flan-t5-base,pcg_full,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.88933329284191,44.83564601105172,99.46556708891868,0.0,52.741375198820606,0.0,0.02553759841248393,0.05132889200467616,0.998544698044486,0.0,0.0004834995939989321,0.0009718023615150924,85.8,1.0
run_b99515e2.jsonl,medmcqa,google/flan-t5-base,pcg_full,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.88933329284191,44.83564601105172,99.46556708891868,0.0,52.741375198820606,0.0,0.02553759841248393,0.05132889200467616,0.998544698044486,0.0,0.0004834995939989321,0.0009718023615150924,85.8,1.0
run_c18436f5.jsonl,medmcqa,google/flan-t5-base,pcg_full,10,0.0,0.5,0.0,84.8,1.0,85.8,90.0,137.14999999999998,52.935554410214536,45.33856353373267,97.50468717684261,0.0,52.78958729759324,0.0,0.025879303575493395,0.05037100054323673,0.9985576639361473,0.0,0.0004895279210454681,0.0009528081428072474,85.8,1.0
