model,dataset,method,applicable,authority
GPT-OSS 120B,FEVER,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,FEVER,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,TAT-QA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,2Wiki,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
GPT-OSS 120B,2Wiki,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
