model,dataset,generations,cell_id,scientific_result_authority,raw_run_binding
GPT-OSS 120B,FEVER,40,01-01,v3_7,NOT_RETAINED
GPT-OSS 120B,HotpotQA,40,01-02,v3_7,NOT_RETAINED
GPT-OSS 120B,PubMedQA,40,01-03,v3_7,NOT_RETAINED
GPT-OSS 120B,TAT-QA,40,01-04,v3_7,NOT_RETAINED
GPT-OSS 120B,2Wiki,40,01-05,v3_7,NOT_RETAINED
GPT-OSS 120B,Mind2Web,40,01-06,v3_7,NOT_RETAINED
GPT-OSS 120B,BFCL V1,40,01-07,v3_7,NOT_RETAINED
GPT-OSS 120B,AgentDojo,40,01-08,v3_7,NOT_RETAINED
Qwen 3.8 27B,FEVER,40,02-01,v3_7,NOT_RETAINED
Qwen 3.8 27B,HotpotQA,40,02-02,v3_7,NOT_RETAINED
Qwen 3.8 27B,PubMedQA,40,02-03,v3_7,NOT_RETAINED
Qwen 3.8 27B,TAT-QA,40,02-04,v3_7,NOT_RETAINED
Qwen 3.8 27B,2Wiki,40,02-05,v3_7,NOT_RETAINED
Qwen 3.8 27B,Mind2Web,40,02-06,v3_7,NOT_RETAINED
Qwen 3.8 27B,BFCL V1,40,02-07,v3_7,NOT_RETAINED
Qwen 3.8 27B,AgentDojo,40,02-08,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,FEVER,40,03-01,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,HotpotQA,40,03-02,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,PubMedQA,40,03-03,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,TAT-QA,40,03-04,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,2Wiki,40,03-05,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,Mind2Web,40,03-06,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,BFCL V1,40,03-07,v3_7,NOT_RETAINED
Gemini 3.1 Flash-Lite,AgentDojo,40,03-08,v3_7,NOT_RETAINED
Llama 4 Scout,FEVER,40,04-01,v3_7,NOT_RETAINED
Llama 4 Scout,HotpotQA,40,04-02,v3_7,NOT_RETAINED
Llama 4 Scout,PubMedQA,40,04-03,v3_7,NOT_RETAINED
Llama 4 Scout,TAT-QA,40,04-04,v3_7,NOT_RETAINED
Llama 4 Scout,2Wiki,40,04-05,v3_7,NOT_RETAINED
Llama 4 Scout,Mind2Web,40,04-06,v3_7,NOT_RETAINED
Llama 4 Scout,BFCL V1,40,04-07,v3_7,NOT_RETAINED
Llama 4 Scout,AgentDojo,40,04-08,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,FEVER,40,05-01,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,HotpotQA,40,05-02,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,PubMedQA,40,05-03,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,TAT-QA,40,05-04,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,2Wiki,40,05-05,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,Mind2Web,40,05-06,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,BFCL V1,40,05-07,v3_7,NOT_RETAINED
Nemotron 3 120B-A12B,AgentDojo,40,05-08,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,FEVER,40,06-01,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,HotpotQA,40,06-02,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,PubMedQA,40,06-03,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,TAT-QA,40,06-04,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,2Wiki,40,06-05,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,Mind2Web,40,06-06,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,BFCL V1,40,06-07,v3_7,NOT_RETAINED
Gemma 4 26B-A4B,AgentDojo,40,06-08,v3_7,NOT_RETAINED
GLM-4.7 Flash,FEVER,40,07-01,v3_7,NOT_RETAINED
GLM-4.7 Flash,HotpotQA,40,07-02,v3_7,NOT_RETAINED
GLM-4.7 Flash,PubMedQA,40,07-03,v3_7,NOT_RETAINED
GLM-4.7 Flash,TAT-QA,40,07-04,v3_7,NOT_RETAINED
GLM-4.7 Flash,2Wiki,40,07-05,v3_7,NOT_RETAINED
GLM-4.7 Flash,Mind2Web,40,07-06,v3_7,NOT_RETAINED
GLM-4.7 Flash,BFCL V1,40,07-07,v3_7,NOT_RETAINED
GLM-4.7 Flash,AgentDojo,40,07-08,v3_7,NOT_RETAINED
