dataset,observation_id,lane,n_models_evaluated,evidence_sha256
agentdojo,agentdojo:banking:user_task_13:injection_task_4,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_13:injection_task_5,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_1:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_1:injection_task_7,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_3:injection_task_8,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_4:injection_task_6,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_4:injection_task_7,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_7:injection_task_7,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_8:injection_task_0,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:banking:user_task_9:injection_task_0,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_11:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_12:injection_task_3,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_13:injection_task_1,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_1:injection_task_3,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_20:injection_task_1,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_2:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_4:injection_task_3,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_6:injection_task_4,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_7:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:slack:user_task_8:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_13:injection_task_0,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_14:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_16:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_1:injection_task_5,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_1:injection_task_6,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_3:injection_task_3,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_7:injection_task_1,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_8:injection_task_0,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_9:injection_task_1,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:travel:user_task_9:injection_task_5,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_10:injection_task_3,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_14:injection_task_1,agentic,7,NOT_CAPTURED
