dataset,observation_id,split,lane
agentdojo,agentdojo:banking:user_task_13:injection_task_4,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_13:injection_task_5,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_1:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_1:injection_task_7,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_3:injection_task_8,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_4:injection_task_6,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_4:injection_task_7,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_7:injection_task_7,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_8:injection_task_0,held_out_evaluation,agentic
agentdojo,agentdojo:banking:user_task_9:injection_task_0,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_11:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_12:injection_task_3,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_13:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_1:injection_task_3,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_20:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_2:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_4:injection_task_3,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_6:injection_task_4,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_7:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:slack:user_task_8:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_13:injection_task_0,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_14:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_16:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_1:injection_task_5,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_1:injection_task_6,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_3:injection_task_3,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_7:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_8:injection_task_0,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_9:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:travel:user_task_9:injection_task_5,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_10:injection_task_3,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_14:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_14:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_15:injection_task_1,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_15:injection_task_4,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_17:injection_task_4,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_17:injection_task_5,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_18:injection_task_2,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_39:injection_task_5,held_out_evaluation,agentic
agentdojo,agentdojo:workspace:user_task_4:injection_task_2,held_out_evaluation,agentic
bfcl_v1,bfcl_v1:multiple_function_123,held_out_evaluation,agentic
bfcl_v1,bfcl_v1:multiple_function_129,held_out_evaluation,agentic
bfcl_v1,bfcl_v1:multiple_function_148,held_out_evaluation,agentic
