source_identity,historical_path_sha256,historical_source_sha256,historical_source_bytes,source_bytes_status
source:ac48290ee13378c85116,ac48290ee13378c851163a926e9425825ebdaf93aa78643c793dcc48fcebd8ab,7386ef8730f59db4362cadf7f0ec8d78ce58274fd86e6f31a2f72ee906632d5d,11024,NOT_RETAINED
source:2b57326ec2a920a9b8db,2b57326ec2a920a9b8db5294e6e2bd537a2ed35e1ac203af49b75019a1b84d89,a4f8c3619461b7922942c5913d2c68df123d02beba3f01ce92966d49f7bc2f2b,662,NOT_RETAINED
source:45fc6c2a863b9e5a9a4e,45fc6c2a863b9e5a9a4ead551769ee82ef8a344f91428ea19232de11cc7d24b6,447c305feefa7313d73b32cf071d8d82d99679be54866e8c94e57169fd8dce07,10272,NOT_RETAINED
source:fa69b2f16cfaab79f6bf,fa69b2f16cfaab79f6bf09232118d6dd738fdc5f941bfe99dd15f961d619e3b0,cd3d9a4d260faff4ae878a6eaba15c1747ff2c607ba7da20fbc9db376978b0c8,6792,NOT_RETAINED
source:107dbc51e06fd2efaaa1,107dbc51e06fd2efaaa18e34be2d9a7a89ea56e4368c2ecec067b9014160d41e,57888c32ef6d61ee3475d7c96e666c0e3c7cf25e4340726f5f587d7edf71004a,6939,NOT_RETAINED
source:ab887a3fcb27dc0a16e7,ab887a3fcb27dc0a16e709849f652c9a54ef501958fa89342442b7a0fded9549,58f9dcf7be5ad333f1a3a479c39b4472ecf0394932d8b0a287e313a2c70eb358,6650,NOT_RETAINED
source:f3fce3a03d2ba3bb1a64,f3fce3a03d2ba3bb1a6452af99773b9f1289a4e6d3b35894b906a2fbc3e54bc2,d9bac94e2c8036719011552386d0e3c826835c887fd0263156abb6277742e072,14984,NOT_RETAINED
source:07ad2b245920a55e0175,07ad2b245920a55e0175313d4afc5fd292a2ea2dac865110163fd6025cc2c3af,3ec288e7f480a9c6aeb79b503e7ba79c7c60aa6dbd03ba643abe27bda1841be4,11800,NOT_RETAINED
source:68d1b54edf27fa980649,68d1b54edf27fa980649c9139ca79b0909ee612cb505f217de28d8c7b5e5e031,5eb6acb4c0798b026c4c871f75e91b9685812c008b602053445e153af89d6a80,17152,NOT_RETAINED
source:0d989cbd30aff09b1f10,0d989cbd30aff09b1f109fc45236387a7d2a4525abb425893e4ddffae11469d1,7e16dc949d0ee57b187c33c1a15d4ccf0c1509db96763ffe478ad47f8e64c5e1,4607,NOT_RETAINED
source:f06ddfcff7d4c68f8e64,f06ddfcff7d4c68f8e644914678fd80e07afdfec9acd8d86bfda43ae2873323a,ceab473256cbb0cb42e3c828c3fef0d0cfff1aef4cd619ddddce151d6b519b59,5072,NOT_RETAINED
source:5f6d5e8e706013a89f31,5f6d5e8e706013a89f318177a216836d834e278fddd37776abae6c2b2d56acad,ff48d02b59405efdd0a17e6eff1464900bf2a29cdf0a6069ad6c32cc45433d77,5070,NOT_RETAINED
source:4f79f62ef25c9fc439fd,4f79f62ef25c9fc439fde6504eda4797d3480510301aeb5b5877bb2081f77a43,99458d21f2f3959f0a82feb7de25f456eb78095bca52b8c62b2ba424373fc947,1650,NOT_RETAINED
source:aa7631324e350b405ed9,aa7631324e350b405ed9cb3dd7f44220066a11332635de574c0eaa5da9ff2d10,1e43ccdd7a7e500df1759649efa43e299d8a3830624cf98a690ee3095ff85493,9892,NOT_RETAINED
source:cb329a9c3800f13279d4,cb329a9c3800f13279d4a488ff6dd4337e9e6bd590b734c04e0d8dc1c9acafef,19de1acaad6413cb0d682187442f75f5d05b0a99af5c88b8df9dd493863ebd26,8919,NOT_RETAINED
source:7759f25032dbf1be4337,7759f25032dbf1be43376b6243840f5233b3f5f1ca1994ef05ea49feff59b47f,5fbda8c00c083a976e8856dd0098760dcd357b8d88e28bcdd84f3fc6dc063fc4,1825,NOT_RETAINED
source:2a46ad51ef49c93ba49e,2a46ad51ef49c93ba49ea09925f02623f5e0c1434a0ce53a319ac618b0223ce0,81fcddc17f6ac4cf93552bd6a5b25cbd295473a9c3c03bfc4b66ccefd3b5fb9b,6273,NOT_RETAINED
source:092e3f8d354f23a089e8,092e3f8d354f23a089e84840889173268ad1e59c94287a65c8fd01330a4166af,1889abb9590e91ba5054e339dfa7cf8cfdfe312b7a4500995ee3ad1c31cf3cd9,13961,NOT_RETAINED
source:62f0b4fcf97e38b67191,62f0b4fcf97e38b671918c5848866550577442fc84b5f38118cea7689fa8934c,a7bffab04e47058cfe1f7f2893656b60eb5dc7b02c2aa34c82e61a1e26ff70f6,8468,NOT_RETAINED
source:cde0d02ce0e54b5d6c88,cde0d02ce0e54b5d6c88cd1a62c499bc0d04a2ac78fb5c422bca80a29bd1b79e,0c4a93ea4e62a6c6f5a6019a0a109338e670e9da7c5293f9ea502e5999cc3038,846,NOT_RETAINED
source:5c2bf7eb6e2643379bf7,5c2bf7eb6e2643379bf70e1fccf9458b9502c9a805156896825690f0c99d82d1,6b51186a85aa4cee9d10d952cd7ac4d32ff47f9ebb12f6579d60f31e84b2281d,2144,NOT_RETAINED
source:0c75b715f4cb0ed725c9,0c75b715f4cb0ed725c9151b6fed390cc3cb4e465d831a7a04e613afaf1bb0da,015e0c15cf90ddcc2c7b1b7bf976a889b6d5bfab0a43eb01462879a21eab6c08,5109,NOT_RETAINED
source:31fa6e23eca4926171b6,31fa6e23eca4926171b657004b46fb67e7b5f554c36fa57a296712c514ad6743,93f0cdaa1cfc8964b482288983ce35733919658879dc3116e08f6ee6c03d42ad,1688,NOT_RETAINED
source:569ede826c34ea52d0de,569ede826c34ea52d0dea306e8d311ae19cae43db186c57d25a393ed0f8c3b92,14247bf55abee9fae1494bc9d7e4d24fbcb7d13a54b19eb990cc060ed50bd128,25811,NOT_RETAINED
source:b1e950162e9e22f0aab5,b1e950162e9e22f0aab57d01da78c5ddbd264fa76e3940f6742169d2d7edd209,3f08c009a11ee3c0a584561dc189e5340737a1cb6046854cd078306a87004513,4130,NOT_RETAINED
source:390f949bc22dd3a63312,390f949bc22dd3a633121c65cfab5061ac0c7adac0c1458ed864e19ebcc04118,7e0eea9aa0b1edacc080959da9858b358a92a0bd7225bcf3e54dbb5018060964,31279,NOT_RETAINED
source:d53af4e680af1849a459,d53af4e680af1849a459f726108b589b9a856843f4169a3a8678ee1c4dd8e902,2e5ab9597b8b0d93640ef5d2f2e89b8d3b7610584dd028f32d261ff6ba5d2fde,31703,NOT_RETAINED
source:73758e3ddf42bc6bcae9,73758e3ddf42bc6bcae9409327ddecfcc55f210094e73c5dbc8b75d895c8c7aa,50803fddd5fa85c2afe319c326755ae3d5e9124c7874674e4e42de68212ccb2c,14580,NOT_RETAINED
