model,dataset,method,applicable,risk,coverage,utility,native_utility,token_multiplier,source_path,csv_data_row_1based,raw_record_binding
GPT-OSS 120B,FEVER,NoCert,True,13.336351109655258,94.94822211881352,88.0144554740885,83.29784201425102,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,1,NOT_RETAINED
GPT-OSS 120B,FEVER,MiniCheck,True,10.038446266949032,86.54133396786648,88.62536582485792,84.18699161588391,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,2,NOT_RETAINED
GPT-OSS 120B,FEVER,AlignScore,True,9.041029091807683,85.86377546133296,88.53569212002927,85.59725475545108,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,3,NOT_RETAINED
GPT-OSS 120B,FEVER,QAFactEval,True,9.55021746445941,88.76255624449018,87.54254241375173,85.45129356649608,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,4,NOT_RETAINED
GPT-OSS 120B,FEVER,CMVO,True,8.652455702530297,86.40484736611388,90.96642914275783,85.06265315820555,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,5,NOT_RETAINED
GPT-OSS 120B,FEVER,SignalMatchedFusion,True,7.5691735881092574,86.47144210332792,87.17115598384132,86.72076459841892,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,6,NOT_RETAINED
GPT-OSS 120B,FEVER,PCG-MAS,True,5.46111585499109,84.29776714995916,88.64717558739565,86.57979513620242,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,7,NOT_RETAINED
GPT-OSS 120B,HotpotQA,NoCert,True,17.80214108740685,95.09551359574472,84.76901301669044,81.59415137189306,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,8,NOT_RETAINED
GPT-OSS 120B,HotpotQA,MiniCheck,True,13.736184509360093,86.78974973938361,87.37215719253538,86.22730145330743,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,9,NOT_RETAINED
GPT-OSS 120B,HotpotQA,AlignScore,True,13.508909901248511,86.9192809204826,86.59968077265472,85.12276873903417,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,10,NOT_RETAINED
GPT-OSS 120B,HotpotQA,QAFactEval,True,14.395901326132245,86.33983227413006,87.99447989370151,84.27775288827992,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,11,NOT_RETAINED
GPT-OSS 120B,HotpotQA,CMVO,True,11.932107031740518,82.8923994181927,88.54788510641112,85.30067342216793,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,12,NOT_RETAINED
GPT-OSS 120B,HotpotQA,SignalMatchedFusion,True,11.667596111503457,83.15432721473833,87.71911023378313,84.49069590836373,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,13,NOT_RETAINED
GPT-OSS 120B,HotpotQA,PCG-MAS,True,10.50862056905569,82.76808777887945,89.3845033960386,85.27325245188008,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,14,NOT_RETAINED
GPT-OSS 120B,PubMedQA,NoCert,True,11.948256035431953,93.11228004473068,89.34295412903242,85.99517240767256,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,15,NOT_RETAINED
GPT-OSS 120B,PubMedQA,MiniCheck,True,8.461232165032026,88.07908162736655,89.35757568553579,86.06363142999315,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,16,NOT_RETAINED
GPT-OSS 120B,PubMedQA,AlignScore,True,8.163778516093192,86.3081033944176,90.1938135785231,85.43963818014043,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,17,NOT_RETAINED
GPT-OSS 120B,PubMedQA,QAFactEval,True,9.141471593529673,89.07388873549279,86.98827574436702,84.24038565282594,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,18,NOT_RETAINED
GPT-OSS 120B,PubMedQA,CMVO,True,7.461832114149564,86.20719791202715,88.38953724045817,87.35302385399935,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,19,NOT_RETAINED
GPT-OSS 120B,PubMedQA,SignalMatchedFusion,True,6.302074414798594,83.77216667678009,89.52350726294162,86.73894333831791,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,20,NOT_RETAINED
GPT-OSS 120B,PubMedQA,PCG-MAS,True,4.162002807529188,82.2815992313534,90.36900003799563,86.88327277801046,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,21,NOT_RETAINED
GPT-OSS 120B,TAT-QA,NoCert,True,14.87188989396889,92.72862147478934,86.95747845134412,83.6330290913009,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,22,NOT_RETAINED
GPT-OSS 120B,TAT-QA,MiniCheck,True,11.731375821531927,85.60191643626584,87.35491589952855,84.59795390922157,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,23,NOT_RETAINED
GPT-OSS 120B,TAT-QA,AlignScore,True,11.125725412194033,86.7434932955244,89.09876448058185,85.91809421602845,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,24,NOT_RETAINED
GPT-OSS 120B,TAT-QA,QAFactEval,True,11.714268708056453,88.83859443206511,88.53414153259743,84.05146890799487,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,25,NOT_RETAINED
GPT-OSS 120B,TAT-QA,CMVO,True,10.430745567001253,84.424407857055,88.88064748065928,84.74445860668298,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,26,NOT_RETAINED
GPT-OSS 120B,TAT-QA,SignalMatchedFusion,True,10.003458431839002,84.35503345894155,89.26906859868217,85.7595026061752,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,27,NOT_RETAINED
GPT-OSS 120B,TAT-QA,PCG-MAS,True,7.918872018330405,82.09606689631863,89.52161658981122,83.78764354039993,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,28,NOT_RETAINED
GPT-OSS 120B,2Wiki,NoCert,True,17.11811458015056,94.1436428471396,87.87835691646654,83.67250787116583,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,29,NOT_RETAINED
GPT-OSS 120B,2Wiki,MiniCheck,True,13.886528640352969,86.84863226014491,88.5243186591637,83.15304716068094,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,30,NOT_RETAINED
GPT-OSS 120B,2Wiki,AlignScore,True,13.420804955554058,86.53494469025213,88.28733954381417,83.53228102799423,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,31,NOT_RETAINED
GPT-OSS 120B,2Wiki,QAFactEval,True,13.963501951325439,86.15164246139167,86.6827197671776,84.09593145531642,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,32,NOT_RETAINED
GPT-OSS 120B,2Wiki,CMVO,True,11.964524772192263,84.6611966860276,88.36407462136214,84.9638095041118,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,33,NOT_RETAINED
GPT-OSS 120B,2Wiki,SignalMatchedFusion,True,11.444979558585786,82.9244256138577,86.68977559172195,83.73447766471935,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,34,NOT_RETAINED
GPT-OSS 120B,2Wiki,PCG-MAS,True,9.29274424948977,82.63997804169253,89.30337248690553,85.20047765769732,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,35,NOT_RETAINED
GPT-OSS 120B,Mind2Web,NoCert,True,18.5649694469226,91.75383430230178,84.84040561871109,79.87001475817078,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,36,NOT_RETAINED
GPT-OSS 120B,Mind2Web,MiniCheck,False,,,,,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,37,NOT_RETAINED
GPT-OSS 120B,Mind2Web,AlignScore,False,,,,,1.16,14_artifacts/manuscript_stack/data/cell_metrics.csv,38,NOT_RETAINED
GPT-OSS 120B,Mind2Web,QAFactEval,False,,,,,1.21,14_artifacts/manuscript_stack/data/cell_metrics.csv,39,NOT_RETAINED
GPT-OSS 120B,Mind2Web,CMVO,True,13.191263825040012,81.62080960128922,88.99267397242068,85.87503724609937,1.3,14_artifacts/manuscript_stack/data/cell_metrics.csv,40,NOT_RETAINED
GPT-OSS 120B,Mind2Web,SignalMatchedFusion,True,11.865500452592608,83.94664323437084,87.69619295428772,84.0228134657397,1.39,14_artifacts/manuscript_stack/data/cell_metrics.csv,41,NOT_RETAINED
GPT-OSS 120B,Mind2Web,PCG-MAS,True,10.0998079166281,81.28513895535862,87.95241138886465,86.43704083985072,1.56,14_artifacts/manuscript_stack/data/cell_metrics.csv,42,NOT_RETAINED
GPT-OSS 120B,BFCL V1,NoCert,True,17.622747715779933,91.19079315424376,85.93663776747715,82.51658007751261,1.0,14_artifacts/manuscript_stack/data/cell_metrics.csv,43,NOT_RETAINED
GPT-OSS 120B,BFCL V1,MiniCheck,False,,,,,1.12,14_artifacts/manuscript_stack/data/cell_metrics.csv,44,NOT_RETAINED
