method,dataset,n_applicable_models,mean_risk,mean_coverage,mean_utility,mean_native_utility,mean_token_multiplier
NoCert,FEVER,7,14.708450560495724,94.15695213449882,87.02553540750775,83.86451116451495,1.0
MiniCheck,FEVER,7,10.959485845165716,88.20525013833708,87.77696271509035,85.43172802974125,1.12
AlignScore,FEVER,7,10.267422102040365,86.70044971868076,88.88198488033274,85.22712530383187,1.16
QAFactEval,FEVER,7,10.973636727506095,87.9844845047315,87.27055946299093,84.80246839948407,1.2099999999999997
CMVO,FEVER,7,9.213486025323661,85.65218916942833,88.6560449606615,86.41899891139049,1.3
SignalMatchedFusion,FEVER,7,8.395198250642547,85.5344370131401,88.18598169842483,85.70386898514751,1.3900000000000001
PCG-MAS,FEVER,7,6.939404192864889,83.68911374560925,89.07599922128604,85.79834715143083,1.5600000000000003
NoCert,HotpotQA,7,18.288483669571608,94.05515935685355,85.40075975197064,82.88795392236453,1.0
MiniCheck,HotpotQA,7,14.533627201532553,88.12998144133448,87.09498044913717,84.51204697423528,1.12
AlignScore,HotpotQA,7,14.022330402248723,86.50208093669266,87.22443821134289,83.97839664850055,1.16
QAFactEval,HotpotQA,7,14.860264150302426,88.17012066764212,86.83770473931857,84.26455088178746,1.2099999999999997
CMVO,HotpotQA,7,13.009235490721514,85.60106642939274,87.40989970927073,84.69230398948919,1.3
SignalMatchedFusion,HotpotQA,7,12.465254262362874,83.53678088882167,87.9083206569331,84.99981783613013,1.3900000000000001
PCG-MAS,HotpotQA,7,10.814680911431038,83.86028595432377,87.9176644756616,86.00599310202813,1.5600000000000003
NoCert,PubMedQA,7,13.039887249903733,93.33885565400207,87.68709017307565,85.32293045905637,1.0
MiniCheck,PubMedQA,7,9.611073669941588,87.57698158746983,88.66747890544052,85.37676875346627,1.12
AlignScore,PubMedQA,7,8.950356665712041,86.42734588613033,89.11031175239246,86.23859600024582,1.16
QAFactEval,PubMedQA,7,9.696254963680376,87.3202625132932,87.90103952490995,84.6734098710666,1.2099999999999997
CMVO,PubMedQA,7,7.736304423058663,84.82390893942791,88.80690421806831,86.48877040235655,1.3
SignalMatchedFusion,PubMedQA,7,7.153349483251846,84.16735255459193,89.67084728308168,85.58116947430322,1.3900000000000001
PCG-MAS,PubMedQA,7,5.437242052328739,82.47106503399243,90.26902895987736,86.14297667345373,1.5600000000000003
NoCert,TAT-QA,7,16.500719200934892,92.76817589364946,86.28925250806569,84.61875946862723,1.0
MiniCheck,TAT-QA,7,12.926980760618951,87.36680275085962,87.53320345978865,84.42273533861564,1.12
AlignScore,TAT-QA,7,12.434666589374215,86.10802321601405,87.69585707959625,84.70293286282742,1.16
QAFactEval,TAT-QA,7,13.077015445977102,88.04363244205724,87.40933887681972,84.91054172112982,1.2099999999999997
CMVO,TAT-QA,7,11.616734039539173,83.9979705432814,88.10575926520757,84.61863960999254,1.3
SignalMatchedFusion,TAT-QA,7,10.906482714850885,84.21907239243248,88.06011564503477,85.31388292116831,1.3900000000000001
PCG-MAS,TAT-QA,7,9.0716020088082,82.6866947562496,88.9970187518867,85.39937675216716,1.5600000000000003
NoCert,2Wiki,7,17.852122837906954,93.52169508216453,86.31450733945876,82.81147581445803,1.0
MiniCheck,2Wiki,7,14.090570752238557,87.63729696585725,87.1137842048338,84.21905972297608,1.12
AlignScore,2Wiki,7,13.571082819365504,86.50446584345029,87.81167344785445,84.36692107760211,1.16
QAFactEval,2Wiki,7,14.351376484998925,87.15332401841535,86.6893113293687,84.14066320065736,1.2099999999999997
CMVO,2Wiki,7,12.508750542005986,84.21709603401328,87.99973704322007,85.22945969573883,1.3
SignalMatchedFusion,2Wiki,7,11.85724115812697,83.44876604603185,87.6616729504635,84.20634295702901,1.3900000000000001
PCG-MAS,2Wiki,7,10.310580027112996,82.26687299490425,88.51452205654888,85.3048775410706,1.5600000000000003
NoCert,Mind2Web,7,19.149595193541593,92.42298531951465,85.5206373807792,82.31635813655701,1.0
MiniCheck,Mind2Web,0,NA,NA,NA,NA,NA
AlignScore,Mind2Web,0,NA,NA,NA,NA,NA
QAFactEval,Mind2Web,0,NA,NA,NA,NA,NA
CMVO,Mind2Web,7,13.995624157705604,83.8460788538488,86.9719468915408,84.36767158256278,1.3
SignalMatchedFusion,Mind2Web,7,12.878537498416849,82.91131129120335,87.46582341739249,83.89284199151712,1.3900000000000001
PCG-MAS,Mind2Web,7,10.340564776970183,81.86243082284558,88.46763262401976,85.00710747357668,1.5600000000000003
NoCert,BFCL V1,7,18.259869080625005,92.3784681468486,85.56372956479699,83.09249772404753,1.0
MiniCheck,BFCL V1,0,NA,NA,NA,NA,NA
AlignScore,BFCL V1,0,NA,NA,NA,NA,NA
QAFactEval,BFCL V1,0,NA,NA,NA,NA,NA
CMVO,BFCL V1,7,12.987099645413128,83.42947241482034,87.00460676116913,84.84162745283116,1.3
SignalMatchedFusion,BFCL V1,7,11.69481001330553,83.51774922034062,88.55111346782995,85.1071091160902,1.3900000000000001
PCG-MAS,BFCL V1,7,9.13093057013371,82.33256204561943,88.94545572928078,85.59565114440532,1.5600000000000003
NoCert,AgentDojo,7,19.658974021993323,92.858793208717,84.80485509564205,82.53763687252611,1.0
MiniCheck,AgentDojo,0,NA,NA,NA,NA,NA
AlignScore,AgentDojo,0,NA,NA,NA,NA,NA
QAFactEval,AgentDojo,0,NA,NA,NA,NA,NA
CMVO,AgentDojo,7,14.710600303103652,84.15589387143403,86.6416882174716,84.14936120275219,1.3
SignalMatchedFusion,AgentDojo,7,13.515740169026918,82.35102310157762,87.21728907935328,85.12473127168126,1.3900000000000001
PCG-MAS,AgentDojo,7,10.814134302461841,81.40857131051425,88.62988884471663,84.93250725602358,1.5600000000000003
