cell_id,model,dataset,pcg_risk,pcg_coverage,best_applicable_method,best_applicable_risk,delta_pcg_minus_best_pp
01-01,GPT-OSS 120B,FEVER,5.46111585499109,84.29776714995916,SignalMatchedFusion,7.5691735881092574,-2.1080577331181676
01-02,GPT-OSS 120B,HotpotQA,10.50862056905569,82.76808777887945,SignalMatchedFusion,11.667596111503457,-1.1589755424477666
01-03,GPT-OSS 120B,PubMedQA,4.162002807529188,82.2815992313534,SignalMatchedFusion,6.302074414798594,-2.140071607269406
01-04,GPT-OSS 120B,TAT-QA,7.918872018330405,82.09606689631863,SignalMatchedFusion,10.003458431839002,-2.084586413508597
01-05,GPT-OSS 120B,2Wiki,9.29274424948977,82.63997804169253,SignalMatchedFusion,11.444979558585786,-2.1522353090960156
01-06,GPT-OSS 120B,Mind2Web,10.0998079166281,81.28513895535862,SignalMatchedFusion,11.865500452592608,-1.765692535964508
01-07,GPT-OSS 120B,BFCL V1,8.743381302131656,82.79975866842696,SignalMatchedFusion,10.53337544077456,-1.7899941386429035
01-08,GPT-OSS 120B,AgentDojo,9.541654580674322,79.9466997167433,SignalMatchedFusion,12.512435143864026,-2.970780563189704
02-01,Qwen 3.8 27B,FEVER,7.75596919308984,81.70292851257484,SignalMatchedFusion,9.63105652925931,-1.8750873361694698
02-02,Qwen 3.8 27B,HotpotQA,11.683097871544083,83.42636715229858,SignalMatchedFusion,12.910013513276471,-1.226915641732388
02-03,Qwen 3.8 27B,PubMedQA,6.059157089204106,81.43270586180302,SignalMatchedFusion,7.860972205973048,-1.8018151167689416
02-04,Qwen 3.8 27B,TAT-QA,10.046402033055992,82.01201415892102,SignalMatchedFusion,11.56732056508226,-1.5209185320262684
02-05,Qwen 3.8 27B,2Wiki,12.337103829370609,82.93199211649102,SignalMatchedFusion,12.76383776409326,-0.42673393472265175
02-06,Qwen 3.8 27B,Mind2Web,10.885418212148313,79.73528468446818,SignalMatchedFusion,13.3661089633259,-2.480690751177587
02-07,Qwen 3.8 27B,BFCL V1,10.064792397728125,81.73002352712452,SignalMatchedFusion,12.482566168874392,-2.4177737711462672
02-08,Qwen 3.8 27B,AgentDojo,10.619062966864304,81.55849866123317,SignalMatchedFusion,13.459247010450207,-2.8401840435859036
03-01,Gemini 3.1 Flash-Lite,FEVER,7.092128602064804,85.1624486766907,SignalMatchedFusion,8.361258482578272,-1.2691298805134679
03-02,Gemini 3.1 Flash-Lite,HotpotQA,11.490552942069016,85.02037065051127,CMVO,13.081527766722504,-1.5909748246534878
03-03,Gemini 3.1 Flash-Lite,PubMedQA,4.753780588188441,83.19134531991155,SignalMatchedFusion,6.713311205677979,-1.9595306174895377
03-04,Gemini 3.1 Flash-Lite,TAT-QA,9.132443588655429,82.39387396736566,SignalMatchedFusion,10.296491650058728,-1.1640480614032995
03-05,Gemini 3.1 Flash-Lite,2Wiki,8.900408062285276,82.73279060483428,SignalMatchedFusion,10.645891161230468,-1.7454830989451917
03-06,Gemini 3.1 Flash-Lite,Mind2Web,8.956146132987431,82.40200719092995,SignalMatchedFusion,12.12932031473026,-3.1731741817428283
03-07,Gemini 3.1 Flash-Lite,BFCL V1,8.324476203394402,80.94862989780961,SignalMatchedFusion,11.6139168827077,-3.289440679313298
03-08,Gemini 3.1 Flash-Lite,AgentDojo,10.591601654967633,80.4703296354445,SignalMatchedFusion,12.982757689457683,-2.3911560344900504
04-01,Llama 4 Scout,FEVER,7.616796984334575,82.55576874383937,SignalMatchedFusion,8.697474970917954,-1.080677986583379
04-02,Llama 4 Scout,HotpotQA,9.637054033169566,82.97408338029278,SignalMatchedFusion,11.65342645341776,-2.016372420248194
04-03,Llama 4 Scout,PubMedQA,6.539589166496871,82.49896531251296,SignalMatchedFusion,8.113685448796739,-1.5740962822998679
04-04,Llama 4 Scout,TAT-QA,9.520153654497657,81.27321130350185,SignalMatchedFusion,11.508464650825292,-1.9883109963276357
04-05,Llama 4 Scout,2Wiki,10.257259121673128,83.69107334379575,SignalMatchedFusion,11.517199858242048,-1.25994073656892
04-06,Llama 4 Scout,Mind2Web,9.853067029223904,83.35678263939958,SignalMatchedFusion,12.211209660072928,-2.3581426308490236
04-07,Llama 4 Scout,BFCL V1,10.100358571960076,82.51156999002964,SignalMatchedFusion,12.371771271049948,-2.271412699089872
04-08,Llama 4 Scout,AgentDojo,10.92775152530038,82.93951501498695,SignalMatchedFusion,13.585695045055376,-2.657943519754996
05-01,Nemotron 3 120B-A12B,FEVER,5.1588714387254795,81.77363874049956,SignalMatchedFusion,6.5623578283929636,-1.403486389667484
05-02,Nemotron 3 120B-A12B,HotpotQA,9.375986880704634,85.17542899648838,SignalMatchedFusion,11.96361548662637,-2.5876286059217364
05-03,Nemotron 3 120B-A12B,PubMedQA,4.713149439634595,82.54837954807175,SignalMatchedFusion,6.17500010835283,-1.4618506687182347
05-04,Nemotron 3 120B-A12B,TAT-QA,8.915565977606233,83.39673939538004,SignalMatchedFusion,10.550974132896034,-1.6354081552898005
05-05,Nemotron 3 120B-A12B,2Wiki,8.957274576299874,81.98839553124058,SignalMatchedFusion,10.335641325192578,-1.378366748892704
05-06,Nemotron 3 120B-A12B,Mind2Web,10.130706510818849,81.87594653067436,SignalMatchedFusion,13.157903418263446,-3.0271969074445977
05-07,Nemotron 3 120B-A12B,BFCL V1,7.862605732757389,81.32284694243184,SignalMatchedFusion,10.966150500572962,-3.1035447678155723
05-08,Nemotron 3 120B-A12B,AgentDojo,11.2199462449743,81.91239035380032,SignalMatchedFusion,13.7826420592028,-2.5626958142284995
06-01,Gemma 4 26B-A4B,FEVER,7.1662730703266515,84.78291079904145,SignalMatchedFusion,8.375463197239947,-1.2091901269132954
06-02,Gemma 4 26B-A4B,HotpotQA,10.662863879931557,84.00941195854477,SignalMatchedFusion,12.632982122304606,-1.970118242373049
06-03,Gemma 4 26B-A4B,PubMedQA,5.441191248504575,82.745675449127,SignalMatchedFusion,6.8330021747497645,-1.3918109262451894
06-04,Gemma 4 26B-A4B,TAT-QA,8.246631908404737,84.27248695160286,SignalMatchedFusion,10.435122351041992,-2.1884904426372547
06-05,Gemma 4 26B-A4B,2Wiki,10.756082884405345,80.53377131118935,SignalMatchedFusion,11.5104838252503,-0.7544009408449561
06-06,Gemma 4 26B-A4B,Mind2Web,11.664382570076992,81.72169757010043,SignalMatchedFusion,13.609424794472464,-1.945042224395472
06-07,Gemma 4 26B-A4B,BFCL V1,8.824630763540418,81.92066989457845,SignalMatchedFusion,12.055443050251366,-3.2308122867109486
06-08,Gemma 4 26B-A4B,AgentDojo,10.78950982680891,81.6601736795321,SignalMatchedFusion,14.46274137573934,-3.6732315489304295
07-01,GLM-4.7 Flash,FEVER,8.324674206521781,85.54833359665959,SignalMatchedFusion,9.569603158000136,-1.2449289514783555
07-02,GLM-4.7 Flash,HotpotQA,12.344590203542724,83.64825176325117,SignalMatchedFusion,13.134168155246236,-0.789577951703512
07-03,GLM-4.7 Flash,PubMedQA,6.391824026743391,82.59878451516728,SignalMatchedFusion,8.075400824413975,-1.6835767976705842
07-04,GLM-4.7 Flash,TAT-QA,9.721144881106945,83.36247062065706,SignalMatchedFusion,11.983547222212898,-2.262402341105954
07-05,GLM-4.7 Flash,2Wiki,11.673187466266985,81.35011001508612,SignalMatchedFusion,14.782654614294362,-3.1094671480273774
07-06,GLM-4.7 Flash,Mind2Web,10.794425066907696,82.66015818898791,SignalMatchedFusion,13.810294885460353,-3.015869818552657
07-07,GLM-4.7 Flash,BFCL V1,9.996269019423902,85.09443539893496,SignalMatchedFusion,11.840446778907776,-1.8441777594838733
07-08,GLM-4.7 Flash,AgentDojo,12.009413317643038,81.37239211185941,SignalMatchedFusion,13.824662859419009,-1.8152495417759713
