method,threshold_index,n_datasets,mean_coverage,mean_risk,q15_risk,q85_risk
MiniCheck,0.0,8,99.02881358550546,19.683501038187494,16.864233771758155,21.793148790137842
MiniCheck,0.0416666666666666,8,97.60922015578406,19.252242886066647,16.607582379023864,21.27163906145615
MiniCheck,0.0833333333333333,8,96.0347465164947,18.744898109011803,16.057156006086014,21.125236609567008
MiniCheck,0.125,8,94.58456637722733,18.508977074850407,15.896842758205942,20.723110013611052
MiniCheck,0.1666666666666666,8,93.06806503578858,18.207869055304656,15.631375677595294,20.501937134996027
MiniCheck,0.2083333333333333,8,91.63589725842753,17.836039189352,15.117080559716445,20.15727268933483
MiniCheck,0.25,8,89.80577487900794,17.646575068283653,15.27387696079752,20.149994255702225
MiniCheck,0.2916666666666666,8,88.48939890920164,17.286472911787257,14.481577795805983,19.55488376536503
MiniCheck,0.3333333333333333,8,87.11681295232808,16.844237956601862,13.882335860018308,18.9291621726836
MiniCheck,0.375,8,85.51185204173501,16.682932226250244,13.78036560002174,18.67052165345424
MiniCheck,0.4166666666666666,8,84.03056871104076,16.289580004862657,13.76714289823371,18.641630774376345
MiniCheck,0.4583333333333333,8,82.51810414692554,15.972639301354608,13.633994630108958,18.074169273681918
MiniCheck,0.5,8,80.85855486718006,15.72592688478922,12.959395932824712,18.010527122953505
MiniCheck,0.5416666666666666,8,79.35420303368988,15.486770534690834,12.98444159878507,17.605080423849312
MiniCheck,0.5833333333333333,8,77.9517961600728,15.215667207845108,12.443392113082131,17.581780757813725
MiniCheck,0.625,8,76.51666723294977,14.992776281702831,12.348623494288374,17.034585306610154
MiniCheck,0.6666666666666666,8,75.1260362780267,14.800824760874038,12.23399422114793,16.885849191438332
MiniCheck,0.7083333333333333,8,73.44952878258637,14.580223797352533,11.910480501780468,16.76881334675325
MiniCheck,0.75,8,71.94503100353438,14.379883576632665,11.989121387763362,16.56570910221836
MiniCheck,0.7916666666666666,8,70.57068300218701,14.118042402886939,11.713372355842848,16.322887940406794
MiniCheck,0.8333333333333333,8,68.83583207532212,13.91155886429207,11.369176845177462,16.307307010961548
MiniCheck,0.875,8,67.31954319161818,13.962753008245311,11.460731177185389,15.991995095971493
