variant,dataset,risk_increase_pp
Full PCG-MAS,FEVER,0.13826309032078496
Full PCG-MAS,FEVER,-0.5550977877768426
Full PCG-MAS,FEVER,0.6042584472687683
Full PCG-MAS,FEVER,-0.3795731764344604
Full PCG-MAS,FEVER,-1.0887155993008206
Full PCG-MAS,FEVER,-0.060550001272335036
Full PCG-MAS,FEVER,1.1308718177390473
Full PCG-MAS,FEVER,0.17253880441023686
Full PCG-MAS,FEVER,-1.1126616695887883
Full PCG-MAS,FEVER,-0.31891946257831083
Full PCG-MAS,FEVER,1.262767622811629
Full PCG-MAS,FEVER,-0.4571991781721605
Full PCG-MAS,FEVER,0.6708195403051095
Full PCG-MAS,FEVER,-0.1024029075810022
Full PCG-MAS,FEVER,-0.7509325322934959
Full PCG-MAS,FEVER,-0.16536449899729103
Full PCG-MAS,FEVER,0.026931245995790817
Full PCG-MAS,FEVER,0.002080371870149208
Full PCG-MAS,FEVER,0.4951185818162537
Full PCG-MAS,FEVER,0.8828790389977684
Full PCG-MAS,FEVER,-0.6645145954991708
Full PCG-MAS,FEVER,0.2849977129038603
Full PCG-MAS,FEVER,0.5451943934267474
Full PCG-MAS,FEVER,1.5114098244131382
Full PCG-MAS,FEVER,-0.16999131538896234
Full PCG-MAS,FEVER,0.6535891874689096
Full PCG-MAS,FEVER,0.8205156073763953
Full PCG-MAS,FEVER,1.5816840578732343
Full PCG-MAS,FEVER,-0.0037572946270643835
Full PCG-MAS,FEVER,-0.6966381025460032
Full PCG-MAS,FEVER,-0.8370987865155375
Full PCG-MAS,FEVER,-0.5020145689396968
Full PCG-MAS,FEVER,-0.3491775777764428
Full PCG-MAS,FEVER,-0.9198045142425637
Full PCG-MAS,FEVER,-0.2320702300534936
Full PCG-MAS,FEVER,-0.11996424463024963
Full PCG-MAS,FEVER,-0.8918916745738219
Full PCG-MAS,FEVER,-0.1689831372410796
Full PCG-MAS,FEVER,1.4540988831057962
Full PCG-MAS,FEVER,-0.10066432108998767
Full PCG-MAS,FEVER,-0.7209035830411732
Full PCG-MAS,FEVER,1.0403007603014875
Full PCG-MAS,FEVER,-1.14606938833978
Full PCG-MAS,FEVER,1.32752069801633
Full PCG-MAS,FEVER,0.8531336326866461
Full PCG-MAS,FEVER,-0.2653471920491895
Full PCG-MAS,FEVER,-0.4026673901297007
Full PCG-MAS,FEVER,0.36056651101482706
Full PCG-MAS,FEVER,0.504960857842702
Full PCG-MAS,FEVER,0.2545392477769356
Full PCG-MAS,FEVER,0.7944393466887696
Full PCG-MAS,FEVER,0.11122747415873568
Full PCG-MAS,FEVER,-1.06682268301633
Full PCG-MAS,FEVER,-1.2398788647309953
Full PCG-MAS,FEVER,-0.03933388847426033
Full PCG-MAS,FEVER,-0.337511110411164
Full PCG-MAS,FEVER,-0.7379311033737023
Full PCG-MAS,FEVER,0.5871396749917122
Full PCG-MAS,FEVER,-0.6997518064224968
Full PCG-MAS,FEVER,-0.6341969731097229
Full PCG-MAS,FEVER,0.6490262450541522
Full PCG-MAS,FEVER,-0.37555035079665855
Full PCG-MAS,FEVER,0.11075668051018006
Full PCG-MAS,FEVER,0.3759784577029232
Full PCG-MAS,FEVER,-0.684275490411401
Full PCG-MAS,FEVER,0.46325781133845817
Full PCG-MAS,FEVER,0.5954025091659929
Full PCG-MAS,FEVER,0.42009285240838434
Full PCG-MAS,FEVER,-0.9566597643585516
Full PCG-MAS,FEVER,0.656748092016277
Full PCG-MAS,FEVER,-1.0251335541611974
Full PCG-MAS,FEVER,1.5592684329163466
Full PCG-MAS,FEVER,0.35328783858115737
Full PCG-MAS,FEVER,1.033017797944849
Full PCG-MAS,FEVER,1.1343623282536348
Full PCG-MAS,FEVER,1.0939590392525338
Full PCG-MAS,FEVER,0.7250729999660195
Full PCG-MAS,FEVER,-0.2376826370286224
Full PCG-MAS,FEVER,-1.11858087683606
Full PCG-MAS,FEVER,-0.9432096423968181
Full PCG-MAS,FEVER,0.6890151458492313
Full PCG-MAS,FEVER,-0.024934136181839848
Full PCG-MAS,FEVER,-0.405030125878427
Full PCG-MAS,FEVER,-0.3014541904752295
Full PCG-MAS,FEVER,0.04112933560140944
Full PCG-MAS,FEVER,-0.4174189889464384
Full PCG-MAS,FEVER,0.25294753982870355
Full PCG-MAS,FEVER,-0.7059806133547757
Full PCG-MAS,FEVER,0.18340573129400428
Full PCG-MAS,FEVER,-1.1885611821271114
Full PCG-MAS,FEVER,-1.5239258388855408
Full PCG-MAS,FEVER,-0.3029899928540648
Full PCG-MAS,FEVER,0.4171632329755004
Full PCG-MAS,FEVER,-1.3964482169231425
Full PCG-MAS,FEVER,1.370480783932085
Full PCG-MAS,FEVER,1.020568788859411
Full PCG-MAS,FEVER,0.6440207274770878
Full PCG-MAS,FEVER,-0.41152894654662986
Full PCG-MAS,FEVER,-0.26927574892863176
Full PCG-MAS,FEVER,0.031164808668222112
Full PCG-MAS,FEVER,0.783137097659544
Full PCG-MAS,FEVER,0.6465764499389434
Full PCG-MAS,FEVER,0.010039147095106291
Full PCG-MAS,FEVER,-0.016450068661509665
Full PCG-MAS,FEVER,-0.42898729248717915
Full PCG-MAS,FEVER,1.7637210921840594
Full PCG-MAS,FEVER,0.39181680197235624
Full PCG-MAS,FEVER,-0.860134254221989
Full PCG-MAS,FEVER,-1.2215512538019668
Full PCG-MAS,FEVER,0.5341283400210811
Full PCG-MAS,FEVER,1.1420518067509393
Full PCG-MAS,FEVER,-0.10005133331622203
Full PCG-MAS,FEVER,0.6436950483214234
Full PCG-MAS,FEVER,0.8895105389690718
Full PCG-MAS,FEVER,0.2248927972483088
Full PCG-MAS,FEVER,-0.7925265553889375
Full PCG-MAS,FEVER,1.0568777091272803
Full PCG-MAS,FEVER,0.48725489460775095
Full PCG-MAS,FEVER,-0.5761345389011597
Full PCG-MAS,FEVER,0.2616650519485266
Full PCG-MAS,HotpotQA,1.0685629412274977
Full PCG-MAS,HotpotQA,1.5532312804497859
Full PCG-MAS,HotpotQA,0.3743136289503485
Full PCG-MAS,HotpotQA,-0.8112688515948524
Full PCG-MAS,HotpotQA,-0.5040063491564809
Full PCG-MAS,HotpotQA,1.2812645449170337
Full PCG-MAS,HotpotQA,1.2810419311030472
Full PCG-MAS,HotpotQA,1.0325278965941644
Full PCG-MAS,HotpotQA,0.32190105644038575
Full PCG-MAS,HotpotQA,2.3005067685259446
Full PCG-MAS,HotpotQA,0.26922277037632714
Full PCG-MAS,HotpotQA,-0.3055924111214521
Full PCG-MAS,HotpotQA,-0.4670363396398082
Full PCG-MAS,HotpotQA,0.7900324176916947
Full PCG-MAS,HotpotQA,0.2080602495746644
Full PCG-MAS,HotpotQA,0.4724844796928326
Full PCG-MAS,HotpotQA,1.0084112708407584
Full PCG-MAS,HotpotQA,-0.2516771383563082
Full PCG-MAS,HotpotQA,-0.6274597232315088
Full PCG-MAS,HotpotQA,-0.8026215065936714
Full PCG-MAS,HotpotQA,1.3464021402710638
Full PCG-MAS,HotpotQA,-0.9796372067684221
Full PCG-MAS,HotpotQA,-0.41335211923198323
Full PCG-MAS,HotpotQA,0.13616352997029518
Full PCG-MAS,HotpotQA,0.4284569338899078
Full PCG-MAS,HotpotQA,-0.06324006133982171
Full PCG-MAS,HotpotQA,0.3844084677829831
Full PCG-MAS,HotpotQA,-0.7315678817772703
Full PCG-MAS,HotpotQA,-1.4420705732518946
Full PCG-MAS,HotpotQA,0.7642617493008174
Full PCG-MAS,HotpotQA,0.3937197501174847
Full PCG-MAS,HotpotQA,0.7053769147211701
Full PCG-MAS,HotpotQA,1.2870936683145247
Full PCG-MAS,HotpotQA,0.959770686042312
Full PCG-MAS,HotpotQA,0.03172790514699922
