variant,dataset,n,mean_risk_increase_pp,median_risk_increase_pp
Full PCG-MAS,FEVER,120,0.05420386360778768,0.0060597594826277005
Full PCG-MAS,HotpotQA,120,0.3494419105118403,0.36939461480582825
Full PCG-MAS,PubMedQA,120,0.32423710824149216,0.3385780679073459
Full PCG-MAS,TAT-QA,120,0.488634928984203,0.5262554867722551
Full PCG-MAS,2Wiki,120,0.7301971397228555,0.7289173115751773
Full PCG-MAS,Mind2Web,120,0.7904332433533489,0.8571437980727071
Full PCG-MAS,BFCL V1,120,0.8903501819934919,0.8612559836475179
Full PCG-MAS,AgentDojo,120,0.976077532254487,1.0110971194166996
- $V_H$,FEVER,120,2.3132997047798747,2.3783204134839906
- $V_H$,HotpotQA,120,2.532155222649207,2.4622620349571545
- $V_H$,PubMedQA,120,2.5473384078599937,2.5293593524929414
- $V_H$,TAT-QA,120,2.6807339221958966,2.7734378522524032
- $V_H$,2Wiki,120,2.8358721621516128,2.7344335531440396
- $V_H$,Mind2Web,120,3.0138720204359712,3.014492187717444
- $V_H$,BFCL V1,120,3.1656424293315792,3.1563691524747615
- $V_H$,AgentDojo,120,3.3942356697054037,3.3514528287751375
- $V_\Pi$,FEVER,120,3.80248719350018,3.8408739982611655
- $V_\Pi$,HotpotQA,120,3.9980277983455967,4.041032659259505
- $V_\Pi$,PubMedQA,120,4.065088401342671,3.9898716403477903
- $V_\Pi$,TAT-QA,120,4.3466051214141945,4.276946857304761
- $V_\Pi$,2Wiki,120,4.395120000473397,4.384918392773031
- $V_\Pi$,Mind2Web,120,4.657335713453986,4.677971320873622
- $V_\Pi$,BFCL V1,120,4.640205661420135,4.663241258808933
- $V_\Pi$,AgentDojo,120,4.795642499940718,4.815346810266312
- $V_\Gamma$,FEVER,120,2.119258956199253,2.120448857655267
- $V_\Gamma$,HotpotQA,120,2.2417212227669503,2.2409877872699484
- $V_\Gamma$,PubMedQA,120,2.2741652067522136,2.278555216654289
- $V_\Gamma$,TAT-QA,120,2.578736557076414,2.574067547497079
- $V_\Gamma$,2Wiki,120,2.705030566612221,2.67395455177377
- $V_\Gamma$,Mind2Web,120,2.821933975986354,2.9184751864878082
- $V_\Gamma$,BFCL V1,120,2.986313029021155,3.0463994200136257
- $V_\Gamma$,AgentDojo,120,3.13634662878677,3.136471018700623
- $V_\vdash$,FEVER,120,4.406946893667521,4.332544128112682
- $V_\vdash$,HotpotQA,120,4.505956710824275,4.526270003319601
- $V_\vdash$,PubMedQA,120,4.618285573577117,4.611814774112336
- $V_\vdash$,TAT-QA,120,4.922315798753725,4.851416449803203
- $V_\vdash$,2Wiki,120,5.021661732909474,5.029591463670721
- $V_\vdash$,Mind2Web,120,5.169247957531858,5.172990849925912
- $V_\vdash$,BFCL V1,120,5.34230825345212,5.373712964560586
- $V_\vdash$,AgentDojo,120,5.54224885299791,5.565640537940277
NoReplay,FEVER,120,3.440074089730397,3.581572587571655
NoReplay,HotpotQA,120,3.7008055067686048,3.63663594173902
NoReplay,PubMedQA,120,3.805102459519777,3.7930787034517826
NoReplay,TAT-QA,120,4.076076775039946,4.042525720476364
NoReplay,2Wiki,120,4.114841875323246,4.167614003645834
NoReplay,Mind2Web,120,4.231702280114319,4.171462892999255
NoReplay,BFCL V1,120,4.4050585188681906,4.416957190806005
NoReplay,AgentDojo,120,4.647059135478698,4.603880288132844
NoPrune,FEVER,120,1.8012051778221052,1.8764557466515979
NoPrune,HotpotQA,120,1.9603932601554148,1.9748286521980432
NoPrune,PubMedQA,120,1.9597332018909421,2.020967938189327
NoPrune,TAT-QA,120,2.1876841684655033,2.240559677422999
NoPrune,2Wiki,120,2.463666675489166,2.4123217891325597
NoPrune,Mind2Web,120,2.670439199746325,2.6007975103322085
NoPrune,BFCL V1,120,2.6961962953116854,2.758874030677066
NoPrune,AgentDojo,120,2.793729004588026,2.7706808651157155
NoRiskCtrl,FEVER,120,1.552251743204853,1.4900201703565221
NoRiskCtrl,HotpotQA,120,1.6967945862472447,1.7108954683048343
NoRiskCtrl,PubMedQA,120,1.7397442263436569,1.7206215534095712
NoRiskCtrl,TAT-QA,120,1.9530383158359637,1.9795969156452276
