panel,stratum_type,stratum_label,n_cells,delta_pcg_minus_best_pp,pcg_risk_advantage_pp,observed_min_pp,observed_max_pp,favourable_cells,unfavourable_cells,tie_cells,smallest_advantage_cell_id,smallest_advantage_pp,best_applicable_method,sort_rank
A,MODEL,Qwen 3.8 27B,8,-1.8237648909161845,1.8237648909161845,0.4267339347226517,2.8401840435859036,8,0,0,02-05,0.4267339347226517,SignalMatchedFusion,-1
A,MODEL,Llama 4 Scout,8,-1.9008621589652361,1.9008621589652361,1.0806779865833791,2.6579435197549959,8,0,0,04-01,1.0806779865833791,SignalMatchedFusion,-1
A,MODEL,GLM-4.7 Flash,8,-1.9706562887247856,1.9706562887247856,0.78957795170351197,3.1094671480273774,8,0,0,07-02,0.78957795170351197,SignalMatchedFusion,-1
A,MODEL,GPT-OSS 120B,8,-2.0212992304046336,2.0212992304046336,1.1589755424477666,2.9707805631897042,8,0,0,01-02,1.1589755424477666,SignalMatchedFusion,-1
A,MODEL,Gemma 4 26B-A4B,8,-2.0453870923813242,2.0453870923813242,0.75440094084495612,3.6732315489304295,8,0,0,06-05,0.75440094084495612,SignalMatchedFusion,-1
A,MODEL,Gemini 3.1 Flash-Lite,8,-2.0728671723188952,2.0728671723188952,1.1640480614032995,3.289440679313298,8,0,0,03-04,1.1640480614032995,SignalMatchedFusion,-1
A,MODEL,Nemotron 3 120B-A12B,8,-2.1450222572473288,2.1450222572473288,1.3783667488927041,3.1035447678155723,8,0,0,05-05,1.3783667488927041,SignalMatchedFusion,-1
B,DATASET,FEVER,7,-1.4557940577776598,1.4557940577776598,1.0806779865833791,2.1080577331181676,7,0,0,04-01,1.0806779865833791,SignalMatchedFusion,-1
B,DATASET,2Wiki,7,-1.5466611310139737,1.5466611310139737,0.4267339347226517,3.1094671480273774,7,0,0,02-05,0.4267339347226517,SignalMatchedFusion,-1
B,DATASET,HotpotQA,7,-1.620080461297162,1.620080461297162,0.78957795170351197,2.5876286059217364,7,0,0,07-02,0.78957795170351197,SignalMatchedFusion,-1
B,DATASET,PubMedQA,7,-1.716107430923109,1.716107430923109,1.3918109262451894,2.1400716072694062,7,0,0,06-03,1.3918109262451894,SignalMatchedFusion,-1
B,DATASET,TAT-QA,7,-1.834880706042687,1.834880706042687,1.1640480614032995,2.262402341105954,7,0,0,03-04,1.1640480614032995,SignalMatchedFusion,-1
B,DATASET,Mind2Web,7,-2.5379727214466676,2.5379727214466676,1.7656925359645079,3.1731741817428283,7,0,0,01-06,1.7656925359645079,SignalMatchedFusion,-1
B,DATASET,BFCL V1,7,-2.5638794431718197,2.5638794431718197,1.7899941386429037,3.289440679313298,7,0,0,01-07,1.7899941386429037,SignalMatchedFusion,-1
B,DATASET,AgentDojo,7,-2.7016058665650786,2.7016058665650786,1.8152495417759713,3.6732315489304295,7,0,0,07-08,1.8152495417759713,SignalMatchedFusion,-1
C,CELL,02-05,1,-0.4267339347226517,0.4267339347226517,0.4267339347226517,0.4267339347226517,1,0,0,02-05,0.4267339347226517,SignalMatchedFusion,0
C,CELL,06-05,1,-0.75440094084495612,0.75440094084495612,0.75440094084495612,0.75440094084495612,1,0,0,06-05,0.75440094084495612,SignalMatchedFusion,1
