method,channel,level,state
CitationOnly,Integrity,0.0,N/A
CitationOnly,Replay,0.0,N/A
CitationOnly,Policy,0.0,N/A
CitationOnly,Support,1.0,FULL
CitationOnly,Recomputable,1.0,FULL
MiniCheck,Integrity,0.0,N/A
MiniCheck,Replay,0.0,N/A
MiniCheck,Policy,0.0,N/A
MiniCheck,Support,1.0,FULL
MiniCheck,Recomputable,1.0,FULL
AlignScore,Integrity,0.0,N/A
AlignScore,Replay,0.0,N/A
AlignScore,Policy,0.0,N/A
AlignScore,Support,1.0,FULL
AlignScore,Recomputable,1.0,FULL
QAFactEval,Integrity,0.0,N/A
QAFactEval,Replay,0.0,N/A
QAFactEval,Policy,0.0,N/A
QAFactEval,Support,1.0,FULL
QAFactEval,Recomputable,1.0,FULL
ShieldAgent,Integrity,0.0,N/A
ShieldAgent,Replay,0.0,N/A
ShieldAgent,Policy,1.0,FULL
ShieldAgent,Support,0.0,N/A
ShieldAgent,Recomputable,0.6,PARTIAL
AgentRR,Integrity,0.0,N/A
AgentRR,Replay,1.0,FULL
AgentRR,Policy,0.0,N/A
AgentRR,Support,0.0,N/A
AgentRR,Recomputable,0.7,PARTIAL
PCG-MAS,Integrity,1.0,FULL
PCG-MAS,Replay,1.0,FULL
PCG-MAS,Policy,1.0,FULL
PCG-MAS,Support,1.0,FULL
PCG-MAS,Recomputable,1.0,FULL
