method,dataset,threshold_index,coverage,risk
MiniCheck,FEVER,0.0,99.15667709838773,16.73985187718047
MiniCheck,FEVER,0.041666666666666664,97.73970776689444,16.496934295047566
MiniCheck,FEVER,0.08333333333333333,95.69088378972924,15.947457068524795
MiniCheck,FEVER,0.125,95.08796588576998,15.793360426089729
MiniCheck,FEVER,0.16666666666666666,93.63669970006993,15.530506111523461
MiniCheck,FEVER,0.20833333333333331,91.84060794810168,15.010293055786974
MiniCheck,FEVER,0.25,89.28549423476447,15.190557445383915
MiniCheck,FEVER,0.29166666666666663,88.56094988874393,14.363341770606297
MiniCheck,FEVER,0.3333333333333333,86.71823159983455,13.762095895052635
MiniCheck,FEVER,0.375,85.34192825014243,13.640355605951635
MiniCheck,FEVER,0.41666666666666663,83.83294009267117,13.67251097639293
MiniCheck,FEVER,0.4583333333333333,82.75278736982075,13.544228846587252
MiniCheck,FEVER,0.5,80.85725762778682,12.844279107787996
MiniCheck,FEVER,0.5416666666666666,78.94622724495831,12.880838957015118
MiniCheck,FEVER,0.5833333333333333,78.3945997221824,12.323618554291919
MiniCheck,FEVER,0.625,76.26623518796664,12.238284733739063
MiniCheck,FEVER,0.6666666666666666,74.78965753064007,12.123368562895724
MiniCheck,FEVER,0.7083333333333333,73.80820338120624,11.807610369673698
MiniCheck,FEVER,0.75,72.74000705449374,11.888677540137667
MiniCheck,FEVER,0.7916666666666666,70.45122738517846,11.620406652576312
MiniCheck,FEVER,0.8333333333333333,69.04092116034948,11.268525477041985
MiniCheck,FEVER,0.875,67.56678741520187,11.377702709140516
MiniCheck,FEVER,0.9166666666666666,66.13671806540682,10.969196808646467
MiniCheck,FEVER,0.9583333333333333,64.36124162923538,11.047525816180803
MiniCheck,FEVER,1.0,62.53361546290003,10.667385737885379
MiniCheck,HotpotQA,0.0,99.42275122384726,20.828414596733644
MiniCheck,HotpotQA,0.041666666666666664,97.66547827518261,20.52546108674968
MiniCheck,HotpotQA,0.08333333333333333,96.669325244115,19.88596357789783
MiniCheck,HotpotQA,0.125,95.05821891563997,19.467879511136797
MiniCheck,HotpotQA,0.16666666666666666,93.21816415434112,19.32543302283876
MiniCheck,HotpotQA,0.20833333333333331,91.75823756691183,18.88551333429958
MiniCheck,HotpotQA,0.25,90.00500090422763,18.82067879762386
MiniCheck,HotpotQA,0.29166666666666663,89.21213773672804,18.34370036109907
MiniCheck,HotpotQA,0.3333333333333333,87.34179184095471,17.815897631180245
MiniCheck,HotpotQA,0.375,85.64116657389306,17.593649998416865
MiniCheck,HotpotQA,0.41666666666666663,83.94174284874062,17.296005078143658
MiniCheck,HotpotQA,0.4583333333333333,82.36485990125513,17.069009881766476
MiniCheck,HotpotQA,0.5,81.38637507265858,16.859038083755642
MiniCheck,HotpotQA,0.5416666666666666,79.38601268129936,16.337231012240487
MiniCheck,HotpotQA,0.5833333333333333,76.92219662259673,16.57425067803584
MiniCheck,HotpotQA,0.625,76.35453766865177,16.323943862328523
MiniCheck,HotpotQA,0.6666666666666666,74.99255557724334,15.87930208765099
MiniCheck,HotpotQA,0.7083333333333333,73.88359748710565,15.815527702555423
MiniCheck,HotpotQA,0.75,71.92722295329783,15.200491401413055
MiniCheck,HotpotQA,0.7916666666666666,71.02170373122271,15.181472167300702
MiniCheck,HotpotQA,0.8333333333333333,68.98377801544586,14.86188447609634
MiniCheck,HotpotQA,0.875,67.42499965630714,15.159597752916675
MiniCheck,HotpotQA,0.9166666666666666,66.17531877596183,14.858422957112216
MiniCheck,HotpotQA,0.9583333333333333,64.7660803123947,14.85145359780562
MiniCheck,HotpotQA,1.0,63.37891969080029,15.10015855309299
MiniCheck,PubMedQA,0.0,98.88429470704975,15.635104291018013
MiniCheck,PubMedQA,0.041666666666666664,97.66142877783335,15.160656056511069
MiniCheck,PubMedQA,0.08333333333333333,95.73302405113137,14.795807501251081
MiniCheck,PubMedQA,0.125,94.08653556465408,14.355350771022493
MiniCheck,PubMedQA,0.16666666666666666,93.53739683956175,14.13834077342068
MiniCheck,PubMedQA,0.20833333333333331,91.65149460447917,13.344925436915375
MiniCheck,PubMedQA,0.25,90.14242455274041,13.508678597365764
MiniCheck,PubMedQA,0.29166666666666663,88.4426243734653,13.079071236432325
MiniCheck,PubMedQA,0.3333333333333333,87.60364460715033,12.808755815324675
MiniCheck,PubMedQA,0.375,85.95980443127618,12.636428899525143
MiniCheck,PubMedQA,0.41666666666666663,83.94888323778339,12.080678010744759
MiniCheck,PubMedQA,0.4583333333333333,82.70037645328937,11.787744031297233
MiniCheck,PubMedQA,0.5,80.68834954071305,11.716026863277577
MiniCheck,PubMedQA,0.5416666666666666,79.53589882909012,11.509326274357186
MiniCheck,PubMedQA,0.5833333333333333,78.4250645493088,11.211459685496434
MiniCheck,PubMedQA,0.625,76.26996217928092,11.108360003283366
MiniCheck,PubMedQA,0.6666666666666666,74.86764756342427,10.851943370312142
MiniCheck,PubMedQA,0.7083333333333333,73.45557496946903,10.398931181754348
MiniCheck,PubMedQA,0.75,71.67306075563584,10.326908385290993
MiniCheck,PubMedQA,0.7916666666666666,70.77578577917485,10.212662148810999
MiniCheck,PubMedQA,0.8333333333333333,69.13534565731761,9.638288695344524
MiniCheck,PubMedQA,0.875,67.643488651058,9.93423117327029
MiniCheck,PubMedQA,0.9166666666666666,66.18877601803078,9.778228076860353
MiniCheck,PubMedQA,0.9583333333333333,64.51310173224816,9.394663383850686
MiniCheck,PubMedQA,1.0,63.41253681582411,9.502494809238428
MiniCheck,TAT-QA,0.0,99.23185434708216,19.22748976873414
MiniCheck,TAT-QA,0.041666666666666664,97.22563776126673,18.709895974573524
MiniCheck,TAT-QA,0.08333333333333333,96.34569160560571,18.141435819749148
MiniCheck,TAT-QA,0.125,94.53376576971347,17.863007068414007
MiniCheck,TAT-QA,0.16666666666666666,92.9321143021042,17.547897432960152
MiniCheck,TAT-QA,0.20833333333333331,91.30546034136896,17.146043134376395
MiniCheck,TAT-QA,0.25,90.44242782100032,16.856947753655984
MiniCheck,TAT-QA,0.29166666666666663,88.57923329942896,16.72806227460004
MiniCheck,TAT-QA,0.3333333333333333,87.13709162945712,16.166895194366052
MiniCheck,TAT-QA,0.375,85.30195351356778,16.4405554873537
MiniCheck,TAT-QA,0.41666666666666663,84.19435413374313,15.5651494132085
MiniCheck,TAT-QA,0.4583333333333333,82.05280753217029,15.339544517021388
MiniCheck,TAT-QA,0.5,80.95906876230802,15.14661560852232
MiniCheck,TAT-QA,0.5416666666666666,79.27641377984712,14.952891792414155
MiniCheck,TAT-QA,0.5833333333333333,78.19945013045039,14.719089730096146
MiniCheck,TAT-QA,0.625,76.87090926064752,14.445059944725253
MiniCheck,TAT-QA,0.6666666666666666,75.32503907386773,14.335881727939839
MiniCheck,TAT-QA,0.7083333333333333,73.58872396868622,13.865013011809088
MiniCheck,TAT-QA,0.75,71.94573215959097,13.897554492651537
MiniCheck,TAT-QA,0.7916666666666666,70.66739079861873,13.479720717907023
MiniCheck,TAT-QA,0.8333333333333333,68.63097612540713,13.281552839751559
MiniCheck,TAT-QA,0.875,66.47875123591777,13.038272070037983
MiniCheck,TAT-QA,0.9166666666666666,65.56011586689068,13.511049379774272
MiniCheck,TAT-QA,0.9583333333333333,64.55695649909143,12.690371762256058
MiniCheck,TAT-QA,1.0,62.563532092409666,13.058540788064942
MiniCheck,2Wiki,0.0,98.53088661266968,20.070780406008492
MiniCheck,2Wiki,0.041666666666666664,98.24436431967794,19.636027512839142
MiniCheck,2Wiki,0.08333333333333333,96.0846795894001,19.28908819681462
MiniCheck,2Wiki,0.125,95.05009637126668,19.087469592257317
MiniCheck,2Wiki,0.16666666666666666,92.7103484667872,18.61299742479614
MiniCheck,2Wiki,0.20833333333333331,91.7816877014358,18.611557936862138
MiniCheck,2Wiki,0.25,89.8291836416894,18.189953367822792
MiniCheck,2Wiki,0.29166666666666663,87.80034102495351,17.951562675612102
MiniCheck,2Wiki,0.3333333333333333,87.30666223866365,17.36581292493513
MiniCheck,2Wiki,0.375,85.6114065735517,16.938070456263798
MiniCheck,2Wiki,0.41666666666666663,83.88272515583554,17.062419703511498
MiniCheck,2Wiki,0.4583333333333333,82.33635043702826,16.37635597785286
MiniCheck,2Wiki,0.5,81.06049376792303,16.239366402223496
MiniCheck,2Wiki,0.5416666666666666,79.7740855050896,16.096733230331687
