redundancy,support_size,cost_multiplier,illustrative_risk
1,2,1.4,10.149999999999999
1,4,1.53,10.35
1,8,1.6600000000000001,10.549999999999999
1,16,1.79,10.75
1,32,1.92,10.95
2,2,1.557939875194712,9.243308123882208
2,4,1.6879398751947121,9.44330812388221
2,8,1.8179398751947122,9.643308123882209
2,16,1.9479398751947121,9.84330812388221
2,32,2.077939875194712,10.043308123882209
4,2,1.7569205856195877,8.101011452924588
4,4,1.8869205856195879,8.30101145292459
4,8,2.016920585619588,8.501011452924589
4,16,2.146920585619588,8.70101145292459
4,32,2.276920585619588,8.901011452924589
8,2,1.985879750389424,6.7866162477644165
8,4,2.1158797503894244,6.986616247764417
8,8,2.2458797503894243,7.186616247764416
8,16,2.3758797503894242,7.386616247764416
8,32,2.505879750389424,7.586616247764416
