Model,Dataset,PCG risk,Best applicable,Comparator risk,Delta pp
Llama 4 Scout,2Wiki,10.3%,SignalMatchedFusion,11.5%,-1.3
Llama 4 Scout,Mind2Web,9.9%,SignalMatchedFusion,12.2%,-2.4
Llama 4 Scout,BFCL V1,10.1%,SignalMatchedFusion,12.4%,-2.3
Llama 4 Scout,AgentDojo,10.9%,SignalMatchedFusion,13.6%,-2.7
Nemotron 3 120B-A12B,FEVER,5.2%,SignalMatchedFusion,6.6%,-1.4
Nemotron 3 120B-A12B,HotpotQA,9.4%,SignalMatchedFusion,12.0%,-2.6
Nemotron 3 120B-A12B,PubMedQA,4.7%,SignalMatchedFusion,6.2%,-1.5
Nemotron 3 120B-A12B,TAT-QA,8.9%,SignalMatchedFusion,10.6%,-1.6
Nemotron 3 120B-A12B,2Wiki,9.0%,SignalMatchedFusion,10.3%,-1.4
Nemotron 3 120B-A12B,Mind2Web,10.1%,SignalMatchedFusion,13.2%,-3.0
Nemotron 3 120B-A12B,BFCL V1,7.9%,SignalMatchedFusion,11.0%,-3.1
Nemotron 3 120B-A12B,AgentDojo,11.2%,SignalMatchedFusion,13.8%,-2.6
Gemma 4 26B-A4B,FEVER,7.2%,SignalMatchedFusion,8.4%,-1.2
Gemma 4 26B-A4B,HotpotQA,10.7%,SignalMatchedFusion,12.6%,-2.0
Gemma 4 26B-A4B,PubMedQA,5.4%,SignalMatchedFusion,6.8%,-1.4
Gemma 4 26B-A4B,TAT-QA,8.2%,SignalMatchedFusion,10.4%,-2.2
Gemma 4 26B-A4B,2Wiki,10.8%,SignalMatchedFusion,11.5%,-0.8
Gemma 4 26B-A4B,Mind2Web,11.7%,SignalMatchedFusion,13.6%,-1.9
Gemma 4 26B-A4B,BFCL V1,8.8%,SignalMatchedFusion,12.1%,-3.2
Gemma 4 26B-A4B,AgentDojo,10.8%,SignalMatchedFusion,14.5%,-3.7
GLM-4.7 Flash,FEVER,8.3%,SignalMatchedFusion,9.6%,-1.2
GLM-4.7 Flash,HotpotQA,12.3%,SignalMatchedFusion,13.1%,-0.8
GLM-4.7 Flash,PubMedQA,6.4%,SignalMatchedFusion,8.1%,-1.7
GLM-4.7 Flash,TAT-QA,9.7%,SignalMatchedFusion,12.0%,-2.3
GLM-4.7 Flash,2Wiki,11.7%,SignalMatchedFusion,14.8%,-3.1
GLM-4.7 Flash,Mind2Web,10.8%,SignalMatchedFusion,13.8%,-3.0
GLM-4.7 Flash,BFCL V1,10.0%,SignalMatchedFusion,11.8%,-1.8
GLM-4.7 Flash,AgentDojo,12.0%,SignalMatchedFusion,13.8%,-1.8
