Model,Dataset,PCG risk,Best applicable,Comparator risk,Delta pp
GPT-OSS 120B,FEVER,5.5%,SignalMatchedFusion,7.6%,-2.1
GPT-OSS 120B,HotpotQA,10.5%,SignalMatchedFusion,11.7%,-1.2
GPT-OSS 120B,PubMedQA,4.2%,SignalMatchedFusion,6.3%,-2.1
GPT-OSS 120B,TAT-QA,7.9%,SignalMatchedFusion,10.0%,-2.1
GPT-OSS 120B,2Wiki,9.3%,SignalMatchedFusion,11.4%,-2.2
GPT-OSS 120B,Mind2Web,10.1%,SignalMatchedFusion,11.9%,-1.8
GPT-OSS 120B,BFCL V1,8.7%,SignalMatchedFusion,10.5%,-1.8
GPT-OSS 120B,AgentDojo,9.5%,SignalMatchedFusion,12.5%,-3.0
Qwen 3.8 27B,FEVER,7.8%,SignalMatchedFusion,9.6%,-1.9
Qwen 3.8 27B,HotpotQA,11.7%,SignalMatchedFusion,12.9%,-1.2
Qwen 3.8 27B,PubMedQA,6.1%,SignalMatchedFusion,7.9%,-1.8
Qwen 3.8 27B,TAT-QA,10.0%,SignalMatchedFusion,11.6%,-1.5
Qwen 3.8 27B,2Wiki,12.3%,SignalMatchedFusion,12.8%,-0.4
Qwen 3.8 27B,Mind2Web,10.9%,SignalMatchedFusion,13.4%,-2.5
Qwen 3.8 27B,BFCL V1,10.1%,SignalMatchedFusion,12.5%,-2.4
Qwen 3.8 27B,AgentDojo,10.6%,SignalMatchedFusion,13.5%,-2.8
Gemini 3.1 Flash-Lite,FEVER,7.1%,SignalMatchedFusion,8.4%,-1.3
Gemini 3.1 Flash-Lite,HotpotQA,11.5%,CMVO,13.1%,-1.6
Gemini 3.1 Flash-Lite,PubMedQA,4.8%,SignalMatchedFusion,6.7%,-2.0
Gemini 3.1 Flash-Lite,TAT-QA,9.1%,SignalMatchedFusion,10.3%,-1.2
Gemini 3.1 Flash-Lite,2Wiki,8.9%,SignalMatchedFusion,10.6%,-1.7
Gemini 3.1 Flash-Lite,Mind2Web,9.0%,SignalMatchedFusion,12.1%,-3.2
Gemini 3.1 Flash-Lite,BFCL V1,8.3%,SignalMatchedFusion,11.6%,-3.3
Gemini 3.1 Flash-Lite,AgentDojo,10.6%,SignalMatchedFusion,13.0%,-2.4
Llama 4 Scout,FEVER,7.6%,SignalMatchedFusion,8.7%,-1.1
Llama 4 Scout,HotpotQA,9.6%,SignalMatchedFusion,11.7%,-2.0
Llama 4 Scout,PubMedQA,6.5%,SignalMatchedFusion,8.1%,-1.6
Llama 4 Scout,TAT-QA,9.5%,SignalMatchedFusion,11.5%,-2.0
Llama 4 Scout,2Wiki,10.3%,SignalMatchedFusion,11.5%,-1.3
Llama 4 Scout,Mind2Web,9.9%,SignalMatchedFusion,12.2%,-2.4
Llama 4 Scout,BFCL V1,10.1%,SignalMatchedFusion,12.4%,-2.3
Llama 4 Scout,AgentDojo,10.9%,SignalMatchedFusion,13.6%,-2.7
Nemotron 3 120B-A12B,FEVER,5.2%,SignalMatchedFusion,6.6%,-1.4
Nemotron 3 120B-A12B,HotpotQA,9.4%,SignalMatchedFusion,12.0%,-2.6
Nemotron 3 120B-A12B,PubMedQA,4.7%,SignalMatchedFusion,6.2%,-1.5
Nemotron 3 120B-A12B,TAT-QA,8.9%,SignalMatchedFusion,10.6%,-1.6
Nemotron 3 120B-A12B,2Wiki,9.0%,SignalMatchedFusion,10.3%,-1.4
Nemotron 3 120B-A12B,Mind2Web,10.1%,SignalMatchedFusion,13.2%,-3.0
Nemotron 3 120B-A12B,BFCL V1,7.9%,SignalMatchedFusion,11.0%,-3.1
Nemotron 3 120B-A12B,AgentDojo,11.2%,SignalMatchedFusion,13.8%,-2.6
Gemma 4 26B-A4B,FEVER,7.2%,SignalMatchedFusion,8.4%,-1.2
Gemma 4 26B-A4B,HotpotQA,10.7%,SignalMatchedFusion,12.6%,-2.0
Gemma 4 26B-A4B,PubMedQA,5.4%,SignalMatchedFusion,6.8%,-1.4
Gemma 4 26B-A4B,TAT-QA,8.2%,SignalMatchedFusion,10.4%,-2.2
Gemma 4 26B-A4B,2Wiki,10.8%,SignalMatchedFusion,11.5%,-0.8
Gemma 4 26B-A4B,Mind2Web,11.7%,SignalMatchedFusion,13.6%,-1.9
Gemma 4 26B-A4B,BFCL V1,8.8%,SignalMatchedFusion,12.1%,-3.2
Gemma 4 26B-A4B,AgentDojo,10.8%,SignalMatchedFusion,14.5%,-3.7
GLM-4.7 Flash,FEVER,8.3%,SignalMatchedFusion,9.6%,-1.2
GLM-4.7 Flash,HotpotQA,12.3%,SignalMatchedFusion,13.1%,-0.8
GLM-4.7 Flash,PubMedQA,6.4%,SignalMatchedFusion,8.1%,-1.7
GLM-4.7 Flash,TAT-QA,9.7%,SignalMatchedFusion,12.0%,-2.3
GLM-4.7 Flash,2Wiki,11.7%,SignalMatchedFusion,14.8%,-3.1
GLM-4.7 Flash,Mind2Web,10.8%,SignalMatchedFusion,13.8%,-3.0
GLM-4.7 Flash,BFCL V1,10.0%,SignalMatchedFusion,11.8%,-1.8
GLM-4.7 Flash,AgentDojo,12.0%,SignalMatchedFusion,13.8%,-1.8
