method,witness,accept_rate
CitationOnly,W_H,91.0
CitationOnly,W_Pi,94.0
CitationOnly,W_Gamma,93.0
CitationOnly,W_entail,8.0
MiniCheck,W_H,94.0
MiniCheck,W_Pi,96.0
MiniCheck,W_Gamma,95.0
MiniCheck,W_entail,6.0
AlignScore,W_H,93.0
AlignScore,W_Pi,95.0
AlignScore,W_Gamma,96.0
AlignScore,W_entail,5.0
QAFactEval,W_H,92.0
QAFactEval,W_Pi,94.0
QAFactEval,W_Gamma,94.0
QAFactEval,W_entail,7.0
ShieldAgent,W_H,11.0
ShieldAgent,W_Pi,93.0
ShieldAgent,W_Gamma,91.0
ShieldAgent,W_entail,90.0
AgentRR,W_H,90.0
AgentRR,W_Pi,92.0
AgentRR,W_Gamma,9.0
AgentRR,W_entail,91.0
PCG-MAS,W_H,3.1
PCG-MAS,W_Pi,2.5
PCG-MAS,W_Gamma,2.2
PCG-MAS,W_entail,2.0
