method,witness,accept_rate,mapped_channel,capability_state,native_scope,plot_value
CitationOnly,W_H,91.0,Integrity,N/A,False,NA
CitationOnly,W_Pi,94.0,Replay,N/A,False,NA
CitationOnly,W_Gamma,93.0,Policy,N/A,False,NA
CitationOnly,W_entail,8.0,Support,FULL,True,8.0
MiniCheck,W_H,94.0,Integrity,N/A,False,NA
MiniCheck,W_Pi,96.0,Replay,N/A,False,NA
MiniCheck,W_Gamma,95.0,Policy,N/A,False,NA
MiniCheck,W_entail,6.0,Support,FULL,True,6.0
AlignScore,W_H,93.0,Integrity,N/A,False,NA
AlignScore,W_Pi,95.0,Replay,N/A,False,NA
AlignScore,W_Gamma,96.0,Policy,N/A,False,NA
AlignScore,W_entail,5.0,Support,FULL,True,5.0
QAFactEval,W_H,92.0,Integrity,N/A,False,NA
QAFactEval,W_Pi,94.0,Replay,N/A,False,NA
QAFactEval,W_Gamma,94.0,Policy,N/A,False,NA
QAFactEval,W_entail,7.0,Support,FULL,True,7.0
ShieldAgent,W_H,11.0,Integrity,N/A,False,NA
ShieldAgent,W_Pi,93.0,Replay,N/A,False,NA
ShieldAgent,W_Gamma,91.0,Policy,FULL,True,91.0
ShieldAgent,W_entail,90.0,Support,N/A,False,NA
AgentRR,W_H,90.0,Integrity,N/A,False,NA
AgentRR,W_Pi,92.0,Replay,FULL,True,92.0
AgentRR,W_Gamma,9.0,Policy,N/A,False,NA
AgentRR,W_entail,91.0,Support,N/A,False,NA
PCG-MAS,W_H,3.1,Integrity,FULL,True,3.1
PCG-MAS,W_Pi,2.5,Replay,FULL,True,2.5
PCG-MAS,W_Gamma,2.2,Policy,FULL,True,2.2
PCG-MAS,W_entail,2.0,Support,FULL,True,2.0
