cell,B_info,eta,rho_hat,harm,utility,source
fever:phi-3.5-mini,32,0.0,1.148,0.0,0.0,measured
fever:phi-3.5-mini,32,0.25,1.16,0.0,0.0,measured
fever:phi-3.5-mini,32,0.5,1.173,0.0,0.0,measured
fever:phi-3.5-mini,32,1.0,1.198,0.0,0.0,measured
fever:phi-3.5-mini,64,0.0,1.138,0.0,0.0,measured
fever:phi-3.5-mini,64,0.25,1.15,0.0,0.0,measured
fever:phi-3.5-mini,64,0.5,1.163,0.0,0.0,measured
fever:phi-3.5-mini,64,1.0,1.188,0.0,0.0,measured
fever:phi-3.5-mini,128,0.0,1.141,0.0,0.0,measured
fever:phi-3.5-mini,128,0.25,1.154,0.0,0.0,measured
fever:phi-3.5-mini,128,0.5,1.166,0.0,0.0,measured
fever:phi-3.5-mini,128,1.0,1.191,0.0,0.0,measured
fever:phi-3.5-mini,256,0.0,1.14,0.0,0.0,measured
fever:phi-3.5-mini,256,0.25,1.153,0.0,0.0,measured
fever:phi-3.5-mini,256,0.5,1.165,0.0,0.0,measured
fever:phi-3.5-mini,256,1.0,1.19,0.0,0.0,measured
hotpotqa:qwen2.5-7B,32,0.0,1.537,0.333,0.333,measured
hotpotqa:qwen2.5-7B,32,0.25,1.549,0.0,0.0,measured
hotpotqa:qwen2.5-7B,32,0.5,1.562,0.0,0.0,measured
hotpotqa:qwen2.5-7B,32,1.0,1.587,0.0,0.0,measured
hotpotqa:qwen2.5-7B,64,0.0,1.537,0.333,0.333,measured
hotpotqa:qwen2.5-7B,64,0.25,1.549,0.0,0.0,measured
hotpotqa:qwen2.5-7B,64,0.5,1.562,0.0,0.0,measured
hotpotqa:qwen2.5-7B,64,1.0,1.587,0.0,0.0,measured
hotpotqa:qwen2.5-7B,128,0.0,1.537,0.333,0.333,measured
hotpotqa:qwen2.5-7B,128,0.25,1.549,0.0,0.0,measured
hotpotqa:qwen2.5-7B,128,0.5,1.562,0.0,0.0,measured
hotpotqa:qwen2.5-7B,128,1.0,1.587,0.0,0.0,measured
hotpotqa:qwen2.5-7B,256,0.0,1.537,0.333,0.333,measured
hotpotqa:qwen2.5-7B,256,0.25,1.549,0.333,0.333,measured
hotpotqa:qwen2.5-7B,256,0.5,1.562,0.333,0.333,measured
hotpotqa:qwen2.5-7B,256,1.0,1.587,0.333,0.333,measured
toolbench:Llama-3.3-70B,32,0.0,1.768,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,32,0.25,1.78,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,32,0.5,1.792,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,32,1.0,1.818,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,64,0.0,1.768,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,64,0.25,1.78,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,64,0.5,1.792,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,64,1.0,1.818,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,128,0.0,1.768,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,128,0.25,1.78,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,128,0.5,1.792,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,128,1.0,1.818,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,256,0.0,1.768,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,256,0.25,1.78,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,256,0.5,1.792,0.0,0.0,analytic_model
toolbench:Llama-3.3-70B,256,1.0,1.818,0.0,0.0,analytic_model
weblinx:deepseek-v3,32,0.0,1.437,0.0,0.0,analytic_model
weblinx:deepseek-v3,32,0.25,1.45,0.0,0.0,analytic_model
weblinx:deepseek-v3,32,0.5,1.462,0.0,0.0,analytic_model
weblinx:deepseek-v3,32,1.0,1.487,0.0,0.0,analytic_model
weblinx:deepseek-v3,64,0.0,1.437,0.0,0.0,analytic_model
weblinx:deepseek-v3,64,0.25,1.45,0.0,0.0,analytic_model
weblinx:deepseek-v3,64,0.5,1.462,0.0,0.0,analytic_model
weblinx:deepseek-v3,64,1.0,1.487,0.062,0.062,analytic_model
weblinx:deepseek-v3,128,0.0,1.437,0.0,0.0,analytic_model
weblinx:deepseek-v3,128,0.25,1.45,0.0,0.0,analytic_model
weblinx:deepseek-v3,128,0.5,1.462,0.0,0.0,analytic_model
weblinx:deepseek-v3,128,1.0,1.487,0.0,0.0,analytic_model
weblinx:deepseek-v3,256,0.0,1.437,0.0,0.0,analytic_model
weblinx:deepseek-v3,256,0.25,1.45,0.0,0.0,analytic_model
weblinx:deepseek-v3,256,0.5,1.462,0.0,0.0,analytic_model
weblinx:deepseek-v3,256,1.0,1.487,0.188,0.188,analytic_model
